gene_id,H3K9ac_wc,H3K9me3_wc,H3K4me3_wc,H3K27ac_wc,H3K27me3_wc,E118
ENSG00000188229,57,0,69,32,9,223.597
ENSG00000165507,69,0,63,88,19,223.578
ENSG00000149923,41,0,44,37,9,223.513
ENSG00000169714,46,0,37,35,17,221.295
ENSG00000105707,53,0,51,48,14,220.686
ENSG00000168906,50,0,35,36,25,219.24
ENSG00000183010,5,0,26,4,34,219.136
ENSG00000250644,23,0,28,22,7,216.175
ENSG00000136810,59,0,39,63,27,215.955
ENSG00000111885,64,0,60,61,36,215.903
ENSG00000105669,32,0,36,25,22,215.338
ENSG00000044574,46,0,37,27,17,214.022
ENSG00000249209,21,0,17,13,8,212.285
ENSG00000100823,38,0,27,24,14,211.376
ENSG00000070756,49,0,35,28,8,210.186
ENSG00000115738,65,18,62,62,33,209.366
ENSG00000205544,32,0,38,20,10,209.065
ENSG00000089006,99,0,78,91,35,207.954
ENSG00000135069,53,0,48,63,16,207.782
ENSG00000184110,0,0,0,0,0,206.873
ENSG00000008018,57,0,46,42,30,206.297
ENSG00000171552,65,0,65,52,35,205.305
ENSG00000184840,16,0,22,9,13,205.077
ENSG00000104823,22,0,21,27,4,204.727
ENSG00000135940,29,0,23,21,7,204.553
ENSG00000143621,32,0,32,24,16,202.95
ENSG00000163513,74,0,59,90,35,202.524
ENSG00000101608,51,1,49,48,27,202.02
ENSG00000198300,66,16,58,60,14,201.864
ENSG00000168894,44,0,42,41,13,201.839
ENSG00000132475,41,0,28,31,15,201.549
ENSG00000170540,36,0,33,27,17,201.132
ENSG00000109062,73,0,90,50,43,200.517
ENSG00000100836,37,0,31,34,13,200.197
ENSG00000159423,44,0,38,46,4,198.913
ENSG00000204387,0,0,0,0,0,198.318
ENSG00000125743,33,0,32,33,21,195.739
ENSG00000226976,0,0,0,0,13,193.308
ENSG00000083444,41,0,34,29,12,192.004
ENSG00000143742,27,0,27,18,11,191.721
ENSG00000196139,0,43,0,0,0,190.644
ENSG00000089597,31,0,24,30,9,187.591
ENSG00000103512,11,0,10,4,0,186.068
ENSG00000198563,0,0,0,0,0,185.865
ENSG00000166710,27,0,26,23,12,185.568
ENSG00000111057,69,0,66,73,16,185.423
ENSG00000168653,27,7,26,23,16,184.824
ENSG00000239264,0,0,0,0,0,184.35
ENSG00000108828,32,0,55,20,11,184.315
ENSG00000147162,39,0,28,24,18,184.304
ENSG00000105438,34,0,56,14,45,183.924
ENSG00000166278,0,0,0,0,0,183.731
ENSG00000126218,28,0,37,19,8,183.596
ENSG00000148248,49,0,53,23,7,183.316
ENSG00000132646,32,0,28,23,11,182.789
ENSG00000165283,26,0,22,19,15,182.518
ENSG00000101474,36,0,31,25,14,181.242
ENSG00000108924,51,0,52,51,41,180.956
ENSG00000198258,27,0,25,23,18,180.834
ENSG00000074842,29,0,29,32,9,180.467
ENSG00000136156,54,0,26,38,7,179.178
ENSG00000204525,0,0,0,0,0,179.066
ENSG00000108946,60,0,39,52,20,179.018
ENSG00000131910,59,0,50,76,23,178.48
ENSG00000258674,22,0,24,16,9,178.315
ENSG00000198931,32,0,39,18,9,177.392
ENSG00000101255,47,0,38,54,8,175.883
ENSG00000148672,73,0,49,62,24,175.687
ENSG00000178952,29,0,27,22,13,175.422
ENSG00000157593,29,0,26,23,10,174.731
ENSG00000161547,53,0,42,39,19,174.712
ENSG00000166123,66,0,65,74,33,174.319
ENSG00000120708,29,0,24,29,19,174.266
ENSG00000117984,28,0,35,22,32,173.755
ENSG00000108953,43,0,33,21,13,173.705
ENSG00000255526,44,0,31,27,24,172.565
ENSG00000117289,63,0,46,41,32,172.271
ENSG00000135624,55,0,34,21,27,172.092
ENSG00000113924,58,0,32,66,28,171.838
ENSG00000143761,50,0,46,29,22,171.81
ENSG00000181163,46,0,35,26,14,171.711
ENSG00000167996,63,0,60,54,19,171.652
ENSG00000109072,31,0,38,34,0,171.547
ENSG00000084623,35,0,24,29,12,171.075
ENSG00000100991,34,0,27,27,9,171.044
ENSG00000142192,50,0,27,44,31,170.85
ENSG00000068366,59,0,49,74,15,169.828
ENSG00000104964,30,0,34,21,0,169.636
ENSG00000132031,46,0,34,38,9,169.589
ENSG00000187134,0,0,0,0,0,169.328
ENSG00000089063,43,0,23,36,15,169.318
ENSG00000072778,44,0,69,29,23,168.247
ENSG00000099341,25,0,27,19,19,168.177
ENSG00000100201,47,0,23,29,8,167.233
ENSG00000189056,48,0,36,39,10,166.836
ENSG00000111780,22,0,24,18,8,166.573
ENSG00000115307,47,0,49,43,21,165.518
ENSG00000123144,66,0,57,48,16,165.041
ENSG00000101194,49,0,55,55,18,164.845
ENSG00000128050,67,0,52,46,21,164.787
ENSG00000145741,32,0,22,30,21,164.536
ENSG00000118680,55,0,41,73,14,164.284
ENSG00000101150,39,0,41,35,17,164.236
ENSG00000103226,6,0,5,7,0,164.162
ENSG00000167085,23,4,24,24,15,162.822
ENSG00000126602,36,0,32,32,13,162.75
ENSG00000168385,74,0,43,52,23,162.208
ENSG00000196262,39,0,34,32,15,161.812
ENSG00000165629,45,0,30,29,15,161.526
ENSG00000100889,29,0,29,34,12,161.116
ENSG00000105401,16,0,48,6,70,160.74
ENSG00000062716,42,0,36,40,20,160.299
ENSG00000090861,31,0,27,31,10,160.063
ENSG00000169439,52,0,42,47,21,159.923
ENSG00000106804,53,0,22,50,9,158.85
ENSG00000123975,58,0,34,50,15,158.325
ENSG00000120889,74,0,72,60,19,158.241
ENSG00000184076,43,0,33,55,16,158.061
ENSG00000173812,31,0,30,33,18,157.597
ENSG00000213246,33,0,26,34,12,157.469
ENSG00000138074,61,0,44,57,18,157.393
ENSG00000166347,51,0,45,51,15,157.144
ENSG00000176340,21,0,26,11,3,156.992
ENSG00000214078,48,0,20,35,14,156.645
ENSG00000135929,41,15,37,34,18,156.641
ENSG00000111859,0,5,0,0,0,156.397
ENSG00000188612,30,0,23,23,16,155.911
ENSG00000172057,67,0,64,67,23,155.86
ENSG00000100462,33,0,31,22,19,155.681
ENSG00000139644,7,0,13,0,3,155.076
ENSG00000106153,24,9,22,18,6,155.045
ENSG00000163902,12,0,14,9,0,154.502
ENSG00000143612,49,0,30,33,18,154.12
ENSG00000101084,37,0,31,41,14,154.087
ENSG00000159377,21,0,21,23,5,153.56
ENSG00000165802,72,0,77,64,4,153.396
ENSG00000051108,48,0,39,45,23,153.376
ENSG00000127022,43,0,34,48,3,152.643
ENSG00000205403,36,7,12,36,5,152.457
ENSG00000160014,41,12,44,38,21,152.366
ENSG00000184117,20,0,22,32,5,151.985
ENSG00000138085,51,0,35,51,19,151.839
ENSG00000130309,19,0,19,16,7,151.52
ENSG00000179918,49,0,38,68,13,151.458
ENSG00000181019,57,0,53,68,4,151.431
ENSG00000135916,22,0,29,0,33,151.191
ENSG00000173726,52,0,48,55,21,150.523
ENSG00000104341,36,0,30,17,6,149.88
ENSG00000182378,0,0,0,0,0,149.832
ENSG00000030582,23,0,28,7,21,149.146
