histone_marker,model,val_accuracy_mean,val_accuracy_std,val_auc_mean,val_auc_std,test_accuracy_mean,test_accuracy_std,test_auc_mean,test_auc_std
H3K4me3-H3K9ac-H3K9me3-H3K27ac,RandomForest,78.72,0.9783,0.8707,0.013,77.84,1.0714,0.8655,0.0135
H3K4me3-H3K9ac-H3K9me3-H3K27ac,DirectRanker,77.04,0.9864,0.866,0.0089,76.06,1.3831,0.8514,0.0175
H3K4me3-H3K9ac-H3K9me3-H3K27ac,LogisticRegression,75.38,0.8843,0.8194,0.0157,74.48,1.8199,0.814,0.0229
H3K4me3-H3K9ac-H3K9me3-H3K27ac,SVM_Linear,74.7,1.253,0.8131,0.0161,74.04,2.1513,0.8066,0.0273
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,RandomForest,79.18,1.033,0.8748,0.0103,77.64,1.2602,0.8673,0.0146
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,DirectRanker,78.82,1.7852,0.872,0.0084,76.36,1.0877,0.8558,0.0166
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,LogisticRegression,75.1,1.8507,0.8214,0.0173,74.32,2.4046,0.8158,0.0227
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,SVM_Linear,74.34,1.5994,0.8127,0.0171,74.0,2.4819,0.8064,0.0272
H3K4me3-H3K9ac-H3K9me3-H3K27me3,RandomForest,78.66,0.6148,0.8733,0.0094,77.26,1.2896,0.8649,0.0171
H3K4me3-H3K9ac-H3K9me3-H3K27me3,DirectRanker,78.28,0.8526,0.87,0.0071,76.46,1.6712,0.8551,0.0175
H3K4me3-H3K9ac-H3K9me3-H3K27me3,LogisticRegression,75.54,1.4381,0.827,0.0161,74.76,2.1916,0.8191,0.0255
H3K4me3-H3K9ac-H3K9me3-H3K27me3,SVM_Linear,74.96,1.2482,0.8196,0.0176,74.06,2.9048,0.811,0.0303
H3K4me3-H3K9me3,RandomForest,75.68,1.1077,0.8398,0.0113,75.28,1.1777,0.8349,0.0159
H3K4me3-H3K9me3,LogisticRegression,74.32,1.3554,0.8132,0.0133,73.6,2.0603,0.8023,0.0221
H3K4me3-H3K9me3,DirectRanker,75.04,1.3259,0.844,0.0114,73.5,1.179,0.826,0.016
H3K4me3-H3K9me3,SVM_Linear,73.82,1.0134,0.8078,0.0156,72.64,2.2434,0.7959,0.0237
H3K4me3-H3K9me3-H3K27ac,RandomForest,78.1,1.6355,0.8638,0.0154,77.44,0.9915,0.8595,0.0119
H3K4me3-H3K9me3-H3K27ac,DirectRanker,77.06,1.1283,0.86,0.0122,75.6,1.336,0.8468,0.0172
H3K4me3-H3K9me3-H3K27ac,LogisticRegression,75.54,1.2542,0.8232,0.0156,74.78,1.0895,0.8166,0.0168
H3K4me3-H3K9me3-H3K27ac,SVM_Linear,75.08,0.8701,0.8168,0.0148,74.26,1.1283,0.8104,0.0199
H3K4me3-H3K9me3-H3K27ac-H3K27me3,RandomForest,79.02,1.3572,0.8715,0.013,77.6,1.3379,0.865,0.0114
H3K4me3-H3K9me3-H3K27ac-H3K27me3,DirectRanker,78.62,1.1692,0.87,0.01,76.6,1.3398,0.8544,0.0171
H3K4me3-H3K9me3-H3K27ac-H3K27me3,SVM_Linear,74.38,1.078,0.8167,0.0155,74.24,1.968,0.8112,0.0209
H3K4me3-H3K9me3-H3K27ac-H3K27me3,LogisticRegression,75.02,1.455,0.8239,0.0155,74.16,1.7587,0.8183,0.0187
H3K4me3-H3K9me3-H3K27me3,RandomForest,77.4,1.0368,0.8575,0.0099,75.94,1.0139,0.8497,0.0171
H3K4me3-H3K9me3-H3K27me3,DirectRanker,77.0,1.3172,0.856,0.0089,74.62,1.2518,0.8378,0.0165
H3K4me3-H3K9me3-H3K27me3,LogisticRegression,74.42,1.3461,0.8191,0.0147,73.54,1.9347,0.8089,0.0251
H3K4me3-H3K9me3-H3K27me3,SVM_Linear,74.44,1.4223,0.8135,0.0168,72.54,2.3829,0.801,0.0264
H3K9ac,RandomForest,78.04,0.9607,0.8684,0.0103,77.7,1.8453,0.8632,0.0194
H3K9ac,SVM_Linear,77.38,0.5263,0.8468,0.0081,76.16,1.6273,0.8351,0.0192
H3K9ac,LogisticRegression,77.54,0.5941,0.8468,0.0087,76.04,2.0354,0.8341,0.0202
H3K9ac,DirectRanker,75.84,1.2341,0.862,0.0084,74.44,1.695,0.8493,0.0225
H3K9ac-H3K27ac,RandomForest,78.62,0.563,0.8689,0.0117,78.06,1.3831,0.8666,0.0178
H3K9ac-H3K27ac,SVM_Linear,76.76,0.5177,0.8382,0.0094,75.58,1.1563,0.8306,0.0152
H3K9ac-H3K27ac,LogisticRegression,76.72,0.3701,0.8359,0.0101,75.56,1.5662,0.8292,0.0152
H3K9ac-H3K27ac,DirectRanker,75.8,1.1769,0.862,0.0084,74.98,1.7427,0.8535,0.0198
H3K9ac-H3K27ac-H3K27me3,RandomForest,78.44,1.3069,0.8702,0.0133,77.62,1.0686,0.8671,0.0148
H3K9ac-H3K27ac-H3K27me3,DirectRanker,77.12,1.0849,0.868,0.0084,75.72,2.1649,0.8531,0.0191
H3K9ac-H3K27ac-H3K27me3,SVM_Linear,75.64,1.0968,0.8303,0.0111,74.92,1.1432,0.8264,0.0146
H3K9ac-H3K27ac-H3K27me3,LogisticRegression,75.62,1.3882,0.8307,0.0113,74.5,0.9434,0.826,0.0145
H3K9ac-H3K27me3,RandomForest,77.88,0.7918,0.8694,0.0119,77.32,1.1777,0.8647,0.0171
H3K9ac-H3K27me3,DirectRanker,77.34,1.2779,0.862,0.0084,75.18,1.7922,0.8474,0.0207
H3K9ac-H3K27me3,SVM_Linear,76.36,0.8295,0.8399,0.0085,75.06,1.7257,0.83,0.0193
H3K9ac-H3K27me3,LogisticRegression,76.48,0.6611,0.841,0.0093,74.96,1.8078,0.8303,0.0197
H3K9ac-H3K9me3,RandomForest,78.16,0.7765,0.8687,0.0094,77.28,1.886,0.8629,0.0192
H3K9ac-H3K9me3,DirectRanker,76.42,1.4096,0.864,0.0114,75.08,1.8593,0.8515,0.0232
H3K9ac-H3K9me3,LogisticRegression,76.34,0.7829,0.832,0.0135,74.9,2.6382,0.8184,0.0268
H3K9ac-H3K9me3,SVM_Linear,75.82,1.1925,0.8282,0.0155,74.18,2.3816,0.8136,0.0294
H3K9ac-H3K9me3-H3K27ac,RandomForest,78.58,0.6099,0.8712,0.0117,77.9,1.2787,0.8662,0.016
H3K9ac-H3K9me3-H3K27ac,DirectRanker,76.38,1.2696,0.864,0.0114,75.24,1.4977,0.8546,0.0199
H3K9ac-H3K9me3-H3K27ac,LogisticRegression,75.82,0.705,0.8242,0.0109,74.58,1.9842,0.8152,0.0221
H3K9ac-H3K9me3-H3K27ac,SVM_Linear,75.54,0.7057,0.8184,0.0123,74.12,2.0327,0.8109,0.0242
H3K9ac-H3K9me3-H3K27ac-H3K27me3,RandomForest,78.72,1.2071,0.8725,0.0119,77.78,1.4114,0.8671,0.0145
H3K9ac-H3K9me3-H3K27ac-H3K27me3,DirectRanker,77.64,1.8447,0.866,0.0114,75.5,2.0211,0.8522,0.0205
H3K9ac-H3K9me3-H3K27ac-H3K27me3,LogisticRegression,74.82,1.4601,0.8202,0.014,74.28,1.9162,0.8139,0.0215
H3K9ac-H3K9me3-H3K27ac-H3K27me3,SVM_Linear,74.18,1.2988,0.8124,0.0142,73.98,1.6903,0.8068,0.0242
H3K9ac-H3K9me3-H3K27me3,RandomForest,78.32,0.9783,0.8712,0.0124,77.26,1.8528,0.8639,0.0177
H3K9ac-H3K9me3-H3K27me3,DirectRanker,77.8,1.4782,0.866,0.0114,75.84,2.0403,0.8523,0.0211
H3K9ac-H3K9me3-H3K27me3,LogisticRegression,75.22,0.7791,0.8287,0.0149,74.48,2.4974,0.8166,0.0267
H3K9ac-H3K9me3-H3K27me3,SVM_Linear,75.38,1.2578,0.8226,0.0159,73.98,2.631,0.8101,0.0293
H3K9me3,RandomForest,54.1,1.5937,0.5298,0.017,51.9,0.8689,0.5262,0.0142
H3K9me3,DirectRanker,49.46,1.9667,0.536,0.0195,51.9,0.7969,0.5454,0.0141
H3K9me3,LogisticRegression,52.94,1.9705,0.5076,0.016,51.4,1.1683,0.5152,0.0196
H3K9me3,SVM_Linear,53.14,2.1778,0.5085,0.0114,51.26,1.3409,0.5144,0.0234
