item_name,train_loss_min,train_loss_avg,train_loss_max,train_acc_min,train_acc_avg,train_acc_max,train_auc_min,train_auc_avg,train_auc_max,val_loss_min,val_loss_avg,val_loss_max,val_acc_min,val_acc_avg,val_acc_max,val_auc_min,val_auc_avg,val_auc_max,test_acc_score,test_auc_score
H3K9ac-H3K27me3-H3K9me3-H3K27ac,0.4878,0.5146,0.6808,64.81,77.9469,79.08,0.65,0.7793,0.79,0.5223,0.532,0.6649,75.84,77.2706,77.62,0.76,0.7716,0.78,76.86,0.77
H3K9ac-H3K27me3-H3K27ac-H3K9me3,0.4904,0.5147,0.6824,72.04,77.9846,78.86,0.72,0.7802,0.79,0.5215,0.5305,0.6678,75.65,77.281,77.66,0.76,0.7741,0.78,76.84,0.77
H3K9me3-H3K9ac-H3K27ac-H3K27me3,0.49,0.5185,0.6843,57.2,77.7421,78.96,0.57,0.7774,0.79,0.5225,0.5346,0.6705,73.92,77.1781,77.71,0.74,0.7732,0.78,76.88,0.77
H3K9me3-H3K9ac-H3K27me3-H3K27ac,0.4926,0.5171,0.689,51.18,77.6279,78.79,0.51,0.7758,0.79,0.521,0.5313,0.6797,61.52,77.0809,77.7,0.62,0.7706,0.78,76.86,0.77
H3K9me3-H3K27ac-H3K9ac-H3K27me3,0.4936,0.5161,0.6867,50.01,77.5134,78.85,0.5,0.775,0.79,0.521,0.5305,0.6758,49.99,77.0433,77.74,0.5,0.7711,0.78,76.94,0.77
H3K9me3-H3K27ac-H3K27me3-H3K9ac,0.4922,0.5146,0.6815,64.31,77.9113,78.82,0.64,0.7789,0.79,0.5213,0.5299,0.6675,75.71,77.2668,77.63,0.76,0.7737,0.78,76.89,0.77
H3K9me3-H3K27me3-H3K9ac-H3K27ac,0.4903,0.5145,0.6845,50.01,77.6891,78.92,0.5,0.7769,0.79,0.5211,0.5301,0.6719,49.99,77.0648,77.76,0.5,0.773,0.78,76.86,0.77
H3K9me3-H3K27me3-H3K27ac-H3K9ac,0.4919,0.5166,0.6834,59.12,77.8392,78.83,0.59,0.7783,0.79,0.5218,0.5321,0.6703,74.2,77.214,77.61,0.74,0.77,0.78,76.85,0.77
H3K27ac-H3K9ac-H3K9me3-H3K27me3,0.4891,0.514,0.6855,69.86,78.0214,78.93,0.7,0.7803,0.79,0.5207,0.5295,0.672,76.07,77.365,77.76,0.76,0.7747,0.78,76.74,0.77
H3K27ac-H3K9ac-H3K27me3-H3K9me3,0.4885,0.5136,0.688,50.01,77.5686,78.93,0.5,0.7756,0.79,0.5204,0.5296,0.6786,49.99,77.0365,77.69,0.5,0.7717,0.78,76.84,0.77
H3K27ac-H3K9me3-H3K9ac-H3K27me3,0.4902,0.5142,0.6885,50.09,77.6889,79.02,0.5,0.7768,0.79,0.5206,0.5298,0.6797,50.03,77.0138,77.67,0.5,0.7708,0.78,76.82,0.77
