,gene_id,value_1,y,scores
9935,XLOC_012733,5.66893,2,-6.2337494
9936,XLOC_012740,0.0503724,1,-6.9799595
9937,XLOC_012751,0.406895,1,-6.1296754
9938,XLOC_012768,0.0,0,-6.9799595
9939,XLOC_012773,0.893547,1,-6.9799595
9940,XLOC_012778,0.816445,1,-6.1352153
9941,XLOC_012787,0.0,0,-5.8509245
9942,XLOC_012800,0.0,0,-5.7754903
9943,XLOC_012821,0.0,0,-6.9799595
9944,XLOC_012822,0.0,0,-6.9799595
9945,XLOC_012824,0.0489101,1,-6.4069276
9946,XLOC_012825,0.0,0,-6.9799595
9947,XLOC_012826,0.0,0,-4.9077077
9948,XLOC_012827,6.18135,2,-4.792571
9949,XLOC_012828,45.6011,3,-5.1309805
9950,XLOC_012829,0.0,0,-6.9799595
9951,XLOC_012830,226.274,3,-6.528568
9952,XLOC_012831,0.236731,1,-6.9799595
9953,XLOC_012832,0.514709,1,-6.9799595
9954,XLOC_012833,8.28907,2,-6.8742733
9955,XLOC_012834,5.63371,2,-3.940373
9956,XLOC_012835,1.14149,1,-6.9799595
9957,XLOC_012837,90.5104,3,-6.252949
9958,XLOC_012838,0.0,0,-6.252949
9959,XLOC_012839,0.0458164,1,-6.9799595
9960,XLOC_012840,0.0,0,-6.9799595
9961,XLOC_012841,0.0,0,-6.9799595
9962,XLOC_012842,2.24569,2,-6.7711797
9963,XLOC_012843,6.12208,2,-6.7024508
9964,XLOC_012844,40.2077,3,-3.4761312
9965,XLOC_012845,31.1151,3,-5.956213
9966,XLOC_012846,0.118446,1,-5.5778832
9967,XLOC_012847,31.8586,3,-5.7427144
9968,XLOC_012848,3.24694,2,-5.718367
9969,XLOC_012849,244.245,3,-4.786376
9970,XLOC_012850,12.6547,3,-6.9799595
9971,XLOC_012851,54.6645,3,-6.7914033
9972,XLOC_012852,24.6485,3,-5.990336
9973,XLOC_012853,71.6291,3,-6.032734
9974,XLOC_012854,8.00468,2,-6.889606
9975,XLOC_012855,7.81582,2,-6.889606
9976,XLOC_012856,44.5126,3,-5.484707
9977,XLOC_012857,43.1164,3,-4.2040777
9978,XLOC_012858,557.578,3,-6.119735
9979,XLOC_012859,3.17116,2,-6.7220516
9980,XLOC_012860,19.3428,3,-5.228055
9981,XLOC_012861,0.0182915,1,-6.9799595
9982,XLOC_012863,0.0,0,-6.9799595
9983,XLOC_012864,0.269066,1,-6.1377387
9984,XLOC_012866,0.315451,1,-5.854884
9985,XLOC_012867,20.1487,3,-6.87573
9986,XLOC_012868,18.179,3,-4.2914753
9987,XLOC_012869,0.718754,1,-5.3738246
9988,XLOC_012870,6.99797,2,-6.645562
9989,XLOC_012871,11.1368,2,-6.645562
9990,XLOC_012872,391.737,3,-6.0293293
9991,XLOC_012873,4.7074,2,-6.237322
9992,XLOC_012874,2.25753,2,-6.9799595
9993,XLOC_012875,4.84321,2,-1.9786522
9994,XLOC_012876,16.8988,3,-5.8672705
9995,XLOC_012877,1.26737,2,-6.2880387
9996,XLOC_012878,1.12688,1,-5.8105206
9997,XLOC_012879,12.649,3,-4.7221227
9998,XLOC_012880,6.91316,2,-5.361738
9999,XLOC_012881,0.0519969,1,-6.1784687
10000,XLOC_012882,14.3782,3,-5.755262
10001,XLOC_012883,0.0,0,-6.9799595
10002,XLOC_012884,0.0976858,1,-6.5999694
10003,XLOC_012885,0.1799,1,-6.5999694
10004,XLOC_012886,18.0201,3,-4.93596
10005,XLOC_012887,0.168847,1,-6.9799595
10006,XLOC_012888,4.88125,2,-5.426865
10007,XLOC_012889,8.10958,2,-3.0157008
10008,XLOC_012890,13.4554,3,-6.9799595
10009,XLOC_012891,0.0,0,-6.9799595
10010,XLOC_012892,2.69708,2,-6.155383
10011,XLOC_012893,25.9174,3,-5.058952
10012,XLOC_012894,0.119557,1,-6.9799595
10013,XLOC_012895,0.0677474,1,-6.9799595
10014,XLOC_012896,7.49834,2,-4.499076
10015,XLOC_012897,5.24318,2,-6.3188357
10016,XLOC_012898,0.0266381,1,-6.3908267
10017,XLOC_012899,0.454014,1,-6.9799595
10018,XLOC_012900,6.15516,2,-6.304294
10019,XLOC_012901,0.0295007,1,-6.9799595
10020,XLOC_012902,0.174824,1,-6.9799595
10021,XLOC_012903,6.3839,2,-4.6564236
10022,XLOC_012904,8.87536,2,-5.792954
10023,XLOC_012905,18.3565,3,-5.395789
10024,XLOC_012906,9.37947,2,-0.61916494
10025,XLOC_012909,9.36878,2,-6.4531813
10026,XLOC_012911,4.07364,2,-5.389408
10027,XLOC_012912,0.0,0,-6.9799595
10028,XLOC_012913,24.3536,3,-3.7619267
10029,XLOC_012914,553.543,3,-6.9799595
10030,XLOC_012915,0.0164529,1,-6.5266175
10031,XLOC_012916,2.85646,2,-6.9799595
10032,XLOC_012917,1.69518,2,-6.7667994
10033,XLOC_012918,0.272102,1,-6.9206367
10034,XLOC_012919,26.5595,3,-5.6781487
10035,XLOC_012920,16.4169,3,-5.913435
10036,XLOC_012921,17.0674,3,-6.3252997
10037,XLOC_012922,0.745703,1,-5.575437
10038,XLOC_012923,13.6716,3,-5.854884
10039,XLOC_012924,0.0,0,-6.9799595
10040,XLOC_012925,0.0,0,-6.9799595
10041,XLOC_012926,0.0,0,-6.9799595
10042,XLOC_012927,0.0,0,-6.9799595
10043,XLOC_012928,1.21628,2,-5.4011917
10044,XLOC_012929,6.34268,2,-6.9799595
10045,XLOC_012930,0.0,0,-6.9799595
10046,XLOC_012931,10.6249,2,-6.9799595
10047,XLOC_012932,10.341,2,-6.1164303
10048,XLOC_012933,8.1665,2,-5.9601817
10049,XLOC_012934,53.0008,3,-6.097625
10050,XLOC_012935,14.9146,3,-6.097625
10051,XLOC_012936,0.0,0,-6.9799595
10052,XLOC_012937,0.0299962,1,-6.9799595
10053,XLOC_012938,37.5261,3,-6.9799595
10054,XLOC_012939,0.0,0,-6.9799595
10055,XLOC_012941,1.57112,2,-6.3186626
10056,XLOC_012942,3.17672,2,-6.4925895
10057,XLOC_012943,8.82057,2,-4.535668
10058,XLOC_012944,1.77507,2,-5.9969416
10059,XLOC_012945,5.52028,2,-2.7492137
10060,XLOC_012946,0.0,0,-6.9799595
10061,XLOC_012947,25.3992,3,-6.9799595
10062,XLOC_012948,992.686,3,-3.1692278
10063,XLOC_012949,1.0646,1,-6.9799595
10064,XLOC_012950,21.6855,3,-6.2880387
10065,XLOC_012951,8.14611,2,-6.438684
10066,XLOC_012952,103.289,3,-6.1123295
10067,XLOC_012953,0.0,0,-6.9799595
10068,XLOC_012954,0.0,0,-6.3586326
10069,XLOC_012955,0.0,0,-6.9799595
10070,XLOC_012956,7.62724,2,-2.6673472
10071,XLOC_012957,0.158946,1,-6.9799595
10072,XLOC_012958,0.0,0,-6.9799595
10073,XLOC_012959,1.81713,2,-6.564312
10074,XLOC_012960,1.50972,2,-3.0837085
10075,XLOC_012961,195.28,3,-4.3216825
10076,XLOC_012962,25.803,3,-5.8133745
10077,XLOC_012963,0.0,0,-6.9799595
10078,XLOC_012965,5.71314,2,-3.642902
10079,XLOC_012966,10.6168,2,-5.41607
10080,XLOC_012967,0.0,0,-5.41607
10081,XLOC_012968,0.0,0,-5.41607
10082,XLOC_012969,0.0,0,-6.9144325
10083,XLOC_012970,39.9277,3,-6.3241034
10084,XLOC_012971,36.5388,3,-5.4989166
10085,XLOC_012972,0.395607,1,-6.568785
10086,XLOC_012973,0.0,0,-6.9799595
10087,XLOC_012974,1.49864,2,-5.7811794
10088,XLOC_012975,6.40682,2,-6.0956326
10089,XLOC_012976,0.0,0,-6.0956326
