,gene_id,value_1,y,scores
95,XLOC_000114,0.0,0,-6.970554
96,XLOC_000115,0.0,0,-6.970554
97,XLOC_000116,0.0,0,-6.970554
98,XLOC_000117,0.0,0,-6.970554
99,XLOC_000118,0.0,0,-6.970554
100,XLOC_000119,0.0,0,-6.970554
101,XLOC_000120,0.196942,0,-6.970554
102,XLOC_000121,2.9901,1,-6.970554
103,XLOC_000122,10.0675,1,-6.970554
104,XLOC_000123,9.08193,1,-6.970554
105,XLOC_000124,0.0293579,0,-6.970554
106,XLOC_000125,10.8023,1,-4.8062453
107,XLOC_000126,0.0,0,-6.970554
108,XLOC_000127,0.0,0,-6.970554
109,XLOC_000128,0.0,0,-6.970554
110,XLOC_000129,9.02363,1,-3.8236988
111,XLOC_000130,18.9302,1,-3.3705404
112,XLOC_000131,11.2215,1,-6.3727283
113,XLOC_000132,0.110289,0,-6.970554
114,XLOC_000133,0.613996,0,-6.970554
115,XLOC_000134,8.85757,1,-6.970554
116,XLOC_000135,5.71777,1,-2.0490837
117,XLOC_000136,11.2468,1,-5.7746162
118,XLOC_000137,0.0,0,-6.970554
119,XLOC_000138,0.0,0,-6.970554
120,XLOC_000140,30.4192,1,-2.4550984
121,XLOC_000141,16.5249,1,-5.633648
122,XLOC_000143,0.528457,0,-5.8498178
123,XLOC_000144,0.0,0,-5.8498178
124,XLOC_000147,2.92653,1,-6.970554
125,XLOC_000149,0.0,0,-6.970554
126,XLOC_000150,0.0336751,0,-6.970554
127,XLOC_000151,0.014488,0,-6.970554
128,XLOC_000153,13.4477,1,-3.5405905
129,XLOC_000154,0.74506,0,-6.970554
130,XLOC_000155,0.0,0,-6.970554
131,XLOC_000156,1.63338,1,-3.8325284
132,XLOC_000157,0.0,0,-6.970554
133,XLOC_000158,22.0826,1,-4.3466477
134,XLOC_000159,13.1135,1,-4.320308
135,XLOC_000160,12.4457,1,4.9864044
136,XLOC_000161,5.22253,1,4.9864044
137,XLOC_000162,0.0,0,-6.8904796
138,XLOC_000163,3.87993,1,-3.3538282
139,XLOC_000164,0.0,0,-6.970554
140,XLOC_000165,0.0,0,-6.970554
141,XLOC_000166,0.0833001,0,-6.779002
