Pytorch Conv1D
Epoch 75, Time:107.3947184085846,  Train Loss: 12575.4814, Train MAE: 20.9867, Test Loss: 21499.9425, Test MAE: 18.7099
Epoch 76, Time:107.39052104949951,  Train Loss: 11446.2244, Train MAE: 22.8882, Test Loss: 14248.0949, Test MAE: 20.5820
Epoch 77, Time:107.45425391197205,  Train Loss: 10876.4797, Train MAE: 20.2116, Test Loss: 13276.5777, Test MAE: 16.8103
Epoch 78, Time:107.40625286102295,  Train Loss: 12304.9436, Train MAE: 19.1361, Test Loss: 14330.7012, Test MAE: 21.4616
Epoch 79, Time:107.59055685997009,  Train Loss: 10978.1164, Train MAE: 20.5815, Test Loss: 11522.9234, Test MAE: 17.6523
Epoch 80, Time:107.41746759414673,  Train Loss: 10947.7083, Train MAE: 19.4804, Test Loss: 19238.3229, Test MAE: 20.4794
Epoch 81, Time:107.49125933647156,  Train Loss: 11827.0373, Train MAE: 20.0556, Test Loss: 18198.2665, Test MAE: 17.9305
Epoch 82, Time:107.66756439208984,  Train Loss: 10469.8657, Train MAE: 18.8066, Test Loss: 18151.3673, Test MAE: 18.7345
Epoch 83, Time:107.65700197219849,  Train Loss: 9286.3476, Train MAE: 18.0862, Test Loss: 15712.4811, Test MAE: 18.4465
Epoch 84, Time:107.6567108631134,  Train Loss: 10094.8356, Train MAE: 19.0140, Test Loss: 20492.5622, Test MAE: 20.0672
Epoch 85, Time:107.65630006790161,  Train Loss: 10489.4545, Train MAE: 20.5472, Test Loss: 18455.8770, Test MAE: 17.4495
Epoch 86, Time:107.49184346199036,  Train Loss: 9632.3837, Train MAE: 18.5240, Test Loss: 30532.9200, Test MAE: 21.1985
Epoch 87, Time:107.41336941719055,  Train Loss: 15373.2134, Train MAE: 20.6134, Test Loss: 15986.2997, Test MAE: 18.4156
Epoch 88, Time:107.60429501533508,  Train Loss: 13214.2340, Train MAE: 20.4836, Test Loss: 18463.0251, Test MAE: 28.3335
Epoch 89, Time:107.65909767150879,  Train Loss: 13053.3446, Train MAE: 19.2320, Test Loss: 13254.1511, Test MAE: 17.6366
Epoch 90, Time:107.65790390968323,  Train Loss: 10850.1718, Train MAE: 19.1012, Test Loss: 11515.6071, Test MAE: 17.8945
Epoch 91, Time:107.4048523902893,  Train Loss: 9920.7263, Train MAE: 18.1804, Test Loss: 14003.9427, Test MAE: 17.9040
Epoch 92, Time:107.51861453056335,  Train Loss: 9277.3550, Train MAE: 18.9266, Test Loss: 10871.5312, Test MAE: 25.1826
Saved best model at epoch 92 with test loss: 10871.5312
Epoch 93, Time:107.67437171936035,  Train Loss: 10939.1207, Train MAE: 19.4119, Test Loss: 12648.1686, Test MAE: 17.2886
Epoch 94, Time:107.66479682922363,  Train Loss: 8964.9638, Train MAE: 18.0580, Test Loss: 20412.8207, Test MAE: 25.6719
Epoch 95, Time:107.65134191513062,  Train Loss: 10033.0726, Train MAE: 20.5085, Test Loss: 13386.4094, Test MAE: 17.6872
Epoch 96, Time:107.6516945362091,  Train Loss: 12411.2819, Train MAE: 19.5921, Test Loss: 16865.8339, Test MAE: 16.9376
Epoch 97, Time:107.66327118873596,  Train Loss: 10130.0575, Train MAE: 18.9736, Test Loss: 21002.5524, Test MAE: 19.4987
Epoch 98, Time:107.51803135871887,  Train Loss: 11194.1076, Train MAE: 18.7738, Test Loss: 14126.9913, Test MAE: 16.3264
Epoch 99, Time:107.3929271697998,  Train Loss: 9344.5890, Train MAE: 17.7120, Test Loss: 11625.4256, Test MAE: 20.8621
Epoch 100, Time:107.40438914299011,  Train Loss: 10652.7983, Train MAE: 18.0670, Test Loss: 18666.1132, Test MAE: 17.4014
Epoch 101, Time:107.41471815109253,  Train Loss: 11117.2808, Train MAE: 18.0723, Test Loss: 14916.2133, Test MAE: 17.5999
Epoch 102, Time:107.41716933250427,  Train Loss: 8743.2265, Train MAE: 17.7675, Test Loss: 23856.7387, Test MAE: 17.3784
Epoch 103, Time:107.4297821521759,  Train Loss: 12440.5978, Train MAE: 19.9573, Test Loss: 15332.9238, Test MAE: 19.6963
Epoch 104, Time:107.44443607330322,  Train Loss: 9187.0571, Train MAE: 17.6472, Test Loss: 21768.5264, Test MAE: 16.6168
Epoch 105, Time:107.53514981269836,  Train Loss: 11234.6204, Train MAE: 20.9217, Test Loss: 11745.9153, Test MAE: 21.9989
