model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
LogisticRegression,42,H3K9me3-H3K27ac-H3K27me3,,69.8,0.7589,72.5,0.8042,0.7919,0.7231,0.7128,0.7179,0.808
LogisticRegression,456,H3K9me3-H3K27ac-H3K27me3,,74.0,0.801,70.1,0.767,0.7474,0.7066,0.6707,0.6882,0.753
LogisticRegression,789,H3K9me3-H3K27ac-H3K27me3,,73.3,0.8086,71.6,0.7889,0.7659,0.7098,0.701,0.7054,0.777
LogisticRegression,1011,H3K4me3-H3K9ac-H3K9me3-H3K27ac,,74.4,0.8037,76.6,0.824,0.796,0.7778,0.7161,0.7457,0.763
LogisticRegression,123,H3K4me3-H3K9ac-H3K9me3-H3K27ac,,76.8,0.8437,72.2,0.775,0.7439,0.7457,0.6806,0.7116,0.739
LogisticRegression,42,H3K4me3-H3K9ac-H3K9me3-H3K27ac,,75.3,0.8086,76.0,0.8352,0.8147,0.777,0.7169,0.7458,0.768
LogisticRegression,456,H3K4me3-H3K9ac-H3K9me3-H3K27ac,,75.4,0.8244,74.2,0.8192,0.8104,0.7623,0.6911,0.7249,0.756
LogisticRegression,789,H3K4me3-H3K9ac-H3K9me3-H3K27ac,,75.0,0.8167,73.4,0.8168,0.7826,0.7517,0.6742,0.7109,0.75
LogisticRegression,1011,H3K4me3-H3K9ac-H3K9me3-H3K27me3,,75.1,0.82,76.0,0.8339,0.8097,0.7685,0.714,0.7403,0.775
LogisticRegression,123,H3K4me3-H3K9ac-H3K9me3-H3K27me3,,77.6,0.8476,71.5,0.7778,0.756,0.7396,0.6706,0.7034,0.784
LogisticRegression,42,H3K4me3-H3K9ac-H3K9me3-H3K27me3,,74.2,0.8059,76.6,0.838,0.8222,0.766,0.7536,0.7598,0.787
LogisticRegression,456,H3K4me3-H3K9ac-H3K9me3-H3K27me3,,76.4,0.8374,76.2,0.8349,0.8331,0.7691,0.7378,0.7531,0.79
LogisticRegression,789,H3K4me3-H3K9ac-H3K9me3-H3K27me3,,74.4,0.8242,73.5,0.8107,0.7798,0.7402,0.699,0.719,0.782
LogisticRegression,1011,H3K4me3-H3K9ac-H3K27ac-H3K27me3,,74.4,0.8164,76.4,0.834,0.8238,0.7806,0.7056,0.7412,0.758
LogisticRegression,123,H3K4me3-H3K9ac-H3K27ac-H3K27me3,,78.0,0.8576,72.1,0.7975,0.7779,0.7506,0.6687,0.7072,0.77
LogisticRegression,42,H3K4me3-H3K9ac-H3K27ac-H3K27me3,,76.8,0.8349,75.9,0.8395,0.8196,0.7637,0.7373,0.7503,0.796
LogisticRegression,456,H3K4me3-H3K9ac-H3K27ac-H3K27me3,,76.7,0.8339,74.8,0.8391,0.8347,0.7542,0.7236,0.7386,0.771
LogisticRegression,789,H3K4me3-H3K9ac-H3K27ac-H3K27me3,,74.1,0.8187,74.7,0.829,0.8119,0.7479,0.7216,0.7345,0.782
LogisticRegression,1011,H3K4me3-H3K9me3-H3K27ac-H3K27me3,,74.3,0.8096,75.3,0.8263,0.7953,0.7601,0.7077,0.733,0.783
LogisticRegression,123,H3K4me3-H3K9me3-H3K27ac-H3K27me3,,76.3,0.842,71.8,0.7914,0.7623,0.7445,0.6706,0.7056,0.77
LogisticRegression,42,H3K4me3-H3K9me3-H3K27ac-H3K27me3,,73.4,0.8072,76.3,0.8413,0.8296,0.7691,0.7393,0.7539,0.798
LogisticRegression,456,H3K4me3-H3K9me3-H3K27ac-H3K27me3,,76.8,0.8359,74.2,0.8221,0.8224,0.7511,0.7114,0.7307,0.771
LogisticRegression,789,H3K4me3-H3K9me3-H3K27ac-H3K27me3,,74.3,0.8249,73.2,0.8102,0.7819,0.7256,0.7196,0.7226,0.782
LogisticRegression,1011,H3K9ac-H3K9me3-H3K27ac-H3K27me3,,73.2,0.8073,75.9,0.8249,0.7962,0.761,0.7244,0.7422,0.774
LogisticRegression,123,H3K9ac-H3K9me3-H3K27ac-H3K27me3,,75.0,0.8365,71.1,0.7795,0.7529,0.7405,0.6567,0.6961,0.764
LogisticRegression,42,H3K9ac-H3K9me3-H3K27ac-H3K27me3,,74.0,0.8055,75.5,0.8367,0.822,0.751,0.7495,0.7503,0.794
LogisticRegression,456,H3K9ac-H3K9me3-H3K27ac-H3K27me3,,77.1,0.8319,74.9,0.8177,0.8073,0.7505,0.7337,0.742,0.783
LogisticRegression,789,H3K9ac-H3K9me3-H3K27ac-H3K27me3,,74.8,0.82,74.0,0.8109,0.7922,0.7349,0.7258,0.7303,0.807
LogisticRegression,1011,H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,,73.6,0.8051,76.5,0.8276,0.7987,0.7699,0.7265,0.7476,0.769
LogisticRegression,123,H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,,77.7,0.8469,70.9,0.7787,0.7522,0.7372,0.6567,0.6946,0.744
LogisticRegression,42,H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,,74.5,0.809,76.4,0.8381,0.819,0.7684,0.7434,0.7557,0.788
LogisticRegression,456,H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,,76.3,0.8307,74.9,0.8221,0.8201,0.7591,0.7175,0.7377,0.765
LogisticRegression,789,H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,,73.4,0.8155,72.9,0.8125,0.7815,0.7238,0.7134,0.7186,0.777
