model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
RandomForest,456,H3K9me3-H3K27me3,,69.5,0.7678,66.8,0.7263,0.7096,0.6695,0.6423,0.6556,0.814
RandomForest,789,H3K9me3-H3K27me3,,67.7,0.7382,63.5,0.6979,0.6732,0.6376,0.5732,0.6037,0.815
RandomForest,1011,H3K27ac-H3K27me3,,74.8,0.8241,74.3,0.8447,0.8359,0.7721,0.6576,0.7103,0.75
RandomForest,123,H3K27ac-H3K27me3,,76.9,0.8602,72.8,0.8202,0.8307,0.771,0.6548,0.7082,0.807
RandomForest,42,H3K27ac-H3K27me3,,79.0,0.8547,75.7,0.8498,0.8483,0.7818,0.7006,0.739,0.807
RandomForest,456,H3K27ac-H3K27me3,,76.5,0.8498,75.2,0.8489,0.8438,0.7785,0.6931,0.7333,0.793
RandomForest,789,H3K27ac-H3K27me3,,78.5,0.8599,73.9,0.8426,0.8306,0.7605,0.6742,0.7148,0.786
RandomForest,1011,H3K4me3-H3K9ac-H3K9me3,,76.9,0.8545,77.9,0.8805,0.8686,0.7986,0.7203,0.7574,0.817
RandomForest,123,H3K4me3-H3K9ac-H3K9me3,,79.4,0.8866,76.1,0.8379,0.8398,0.7801,0.7321,0.7554,0.84
RandomForest,42,H3K4me3-H3K9ac-H3K9me3,,78.3,0.8689,78.2,0.8653,0.8522,0.8027,0.7373,0.7686,0.833
RandomForest,456,H3K4me3-H3K9ac-H3K9me3,,76.8,0.8635,78.1,0.8728,0.8571,0.8095,0.7256,0.7653,0.821
RandomForest,789,H3K4me3-H3K9ac-H3K9me3,,78.8,0.8677,76.5,0.8608,0.8616,0.7854,0.7093,0.7454,0.812
RandomForest,1011,H3K4me3-H3K9ac-H3K27ac,,76.9,0.8525,77.3,0.8773,0.8676,0.7958,0.7077,0.7492,0.81
RandomForest,123,H3K4me3-H3K9ac-H3K27ac,,79.2,0.8879,76.5,0.8395,0.8363,0.7905,0.7262,0.757,0.849
RandomForest,42,H3K4me3-H3K9ac-H3K27ac,,78.9,0.8718,79.2,0.8728,0.8619,0.8194,0.7393,0.7773,0.816
RandomForest,456,H3K4me3-H3K9ac-H3K27ac,,78.2,0.8664,78.1,0.8734,0.8571,0.8152,0.7175,0.7632,0.84
RandomForest,789,H3K4me3-H3K9ac-H3K27ac,,79.0,0.8717,77.9,0.8701,0.8684,0.8014,0.7237,0.7606,0.814
RandomForest,1011,H3K4me3-H3K9ac-H3K27me3,,77.8,0.8584,77.9,0.8804,0.877,0.8014,0.7161,0.7563,0.812
RandomForest,123,H3K4me3-H3K9ac-H3K27me3,,79.0,0.887,75.8,0.8404,0.8418,0.7835,0.7183,0.7495,0.852
RandomForest,42,H3K4me3-H3K9ac-H3K27me3,,77.5,0.8685,78.1,0.8695,0.8564,0.7957,0.7454,0.7697,0.846
RandomForest,456,H3K4me3-H3K9ac-H3K27me3,,78.5,0.8698,78.3,0.8774,0.8652,0.8104,0.7297,0.7679,0.846
RandomForest,789,H3K4me3-H3K9ac-H3K27me3,,78.8,0.8737,76.7,0.8582,0.8599,0.7838,0.7175,0.7492,0.83
RandomForest,1011,H3K4me3-H3K9me3-H3K27ac,,75.8,0.8412,76.6,0.8673,0.8618,0.779,0.714,0.7451,0.819
RandomForest,123,H3K4me3-H3K9me3-H3K27ac,,79.4,0.8822,76.3,0.8387,0.8411,0.7811,0.7361,0.7579,0.85
RandomForest,42,H3K4me3-H3K9me3-H3K27ac,,79.7,0.8726,78.6,0.8614,0.851,0.8017,0.7495,0.7747,0.836
RandomForest,456,H3K4me3-H3K9me3-H3K27ac,,77.1,0.8596,78.2,0.8664,0.8478,0.8086,0.7297,0.7671,0.844
RandomForest,789,H3K4me3-H3K9me3-H3K27ac,,78.5,0.8632,77.5,0.8639,0.8559,0.7982,0.7175,0.7557,0.814
RandomForest,1011,H3K4me3-H3K9me3-H3K27me3,,76.0,0.8412,77.4,0.8741,0.8659,0.7817,0.7328,0.7565,0.803
RandomForest,123,H3K4me3-H3K9me3-H3K27me3,,76.9,0.8651,75.2,0.8337,0.8391,0.7689,0.7262,0.7469,0.837
RandomForest,42,H3K4me3-H3K9me3-H3K27me3,,78.2,0.8604,76.3,0.8473,0.8276,0.7848,0.7128,0.7471,0.839
