model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
RandomForest,123,H3K9me3-H3K27ac,,68.0,0.7469,71.5,0.7825,0.744,0.7174,0.6743,0.6952,0.789
RandomForest,42,H3K9me3-H3K27ac,,73.2,0.804,71.5,0.8023,0.7548,0.6957,0.6882,0.6919,0.72
RandomForest,456,H3K9me3-H3K27ac,,70.5,0.779,68.3,0.7608,0.7179,0.6828,0.6239,0.652,0.75
RandomForest,789,H3K9me3-H3K27ac,,69.7,0.7756,71.2,0.788,0.7749,0.6989,0.696,0.6975,0.756
RandomForest,1011,H3K9me3-H3K27me3,,62.8,0.6891,66.0,0.7116,0.6626,0.6698,0.5868,0.6256,0.729
RandomForest,123,H3K9me3-H3K27me3,,63.6,0.682,66.9,0.7245,0.6722,0.6941,0.5602,0.62,0.721
RandomForest,42,H3K9me3-H3K27me3,,68.8,0.7328,68.0,0.7352,0.6798,0.66,0.643,0.6514,0.77
RandomForest,456,H3K9me3-H3K27me3,,64.9,0.7008,62.1,0.656,0.616,0.6131,0.5525,0.5812,0.752
RandomForest,789,H3K9me3-H3K27me3,,65.1,0.6933,66.6,0.7167,0.6727,0.6651,0.6038,0.633,0.725
RandomForest,1011,H3K27ac-H3K27me3,,70.3,0.7828,69.3,0.7842,0.7556,0.6971,0.6467,0.671,0.759
RandomForest,123,H3K27ac-H3K27me3,,66.6,0.7491,70.7,0.7837,0.7464,0.7133,0.6556,0.6832,0.747
RandomForest,42,H3K27ac-H3K27me3,,73.3,0.8108,73.1,0.8172,0.768,0.7149,0.7011,0.7079,0.758
RandomForest,456,H3K27ac-H3K27me3,,71.5,0.7822,67.2,0.7543,0.7229,0.6609,0.6387,0.6496,0.746
RandomForest,789,H3K27ac-H3K27me3,,69.9,0.7767,72.0,0.791,0.7739,0.7109,0.696,0.7034,0.742
RandomForest,1011,H3K4me3-H3K9ac-H3K9me3,,70.7,0.7827,70.9,0.7788,0.7652,0.7121,0.6694,0.6901,0.775
RandomForest,123,H3K4me3-H3K9ac-H3K9me3,,66.9,0.7482,70.4,0.7777,0.7431,0.7114,0.6494,0.679,0.789
RandomForest,42,H3K4me3-H3K9ac-H3K9me3,,72.9,0.795,72.6,0.7972,0.754,0.6977,0.7247,0.711,0.77
RandomForest,456,H3K4me3-H3K9ac-H3K9me3,,70.9,0.7789,68.5,0.7537,0.7113,0.6761,0.6492,0.6624,0.799
RandomForest,789,H3K4me3-H3K9ac-H3K9me3,,68.4,0.7598,71.5,0.787,0.7583,0.6959,0.7149,0.7053,0.748
RandomForest,1011,H3K4me3-H3K9ac-H3K27ac,,71.9,0.793,70.9,0.7892,0.7709,0.7112,0.6715,0.6908,0.789
RandomForest,123,H3K4me3-H3K9ac-H3K27ac,,68.2,0.7592,70.8,0.778,0.7557,0.7159,0.6535,0.6833,0.773
RandomForest,42,H3K4me3-H3K9ac-H3K27ac,,73.7,0.8096,73.0,0.8077,0.7636,0.7088,0.7118,0.7103,0.755
RandomForest,456,H3K4me3-H3K9ac-H3K27ac,,72.0,0.7888,69.3,0.7693,0.7269,0.6841,0.6597,0.6717,0.781
RandomForest,789,H3K4me3-H3K9ac-H3K27ac,,69.2,0.7735,72.0,0.7945,0.7711,0.7065,0.7065,0.7065,0.755
RandomForest,1011,H3K4me3-H3K9ac-H3K27me3,,70.2,0.7835,71.3,0.7932,0.7775,0.7137,0.6798,0.6963,0.779
RandomForest,123,H3K4me3-H3K9ac-H3K27me3,,69.1,0.7608,71.4,0.7953,0.7722,0.729,0.6473,0.6857,0.793
RandomForest,42,H3K4me3-H3K9ac-H3K27me3,,73.7,0.81,75.7,0.817,0.7713,0.7293,0.7591,0.7439,0.743
RandomForest,456,H3K4me3-H3K9ac-H3K27me3,,70.1,0.7878,68.5,0.7587,0.7246,0.6667,0.6765,0.6715,0.8
RandomForest,789,H3K4me3-H3K9ac-H3K27me3,,68.8,0.7726,71.6,0.7916,0.7733,0.7075,0.6897,0.6985,0.752
RandomForest,1011,H3K4me3-H3K9me3-H3K27ac,,71.2,0.7932,70.3,0.781,0.7657,0.7101,0.6529,0.6803,0.79
RandomForest,123,H3K4me3-H3K9me3-H3K27ac,,68.3,0.755,71.3,0.7793,0.7489,0.7106,0.6826,0.6963,0.768
RandomForest,42,H3K4me3-H3K9me3-H3K27ac,,72.5,0.8078,73.1,0.8102,0.764,0.7068,0.7204,0.7135,0.75
RandomForest,456,H3K4me3-H3K9me3-H3K27ac,,73.5,0.7929,68.9,0.763,0.7134,0.6846,0.6429,0.6631,0.78
RandomForest,789,H3K4me3-H3K9me3-H3K27ac,,69.1,0.771,70.9,0.7984,0.7735,0.6898,0.7086,0.6991,0.77
RandomForest,1011,H3K4me3-H3K9me3-H3K27me3,,71.1,0.7876,70.8,0.7901,0.7662,0.7202,0.6488,0.6826,0.762
RandomForest,123,H3K4me3-H3K9me3-H3K27me3,,69.8,0.7557,71.7,0.7906,0.7606,0.7267,0.6618,0.6927,0.757
RandomForest,42,H3K4me3-H3K9me3-H3K27me3,,72.4,0.8035,73.8,0.8155,0.7843,0.7173,0.7204,0.7189,0.742
RandomForest,456,H3K4me3-H3K9me3-H3K27me3,,70.6,0.78,69.2,0.7554,0.7249,0.6803,0.666,0.673,0.787
RandomForest,789,H3K4me3-H3K9me3-H3K27me3,,68.3,0.7637,70.3,0.7889,0.777,0.6891,0.6876,0.6884,0.718
RandomForest,1011,H3K4me3-H3K27ac-H3K27me3,,71.4,0.7875,70.8,0.7891,0.7658,0.7143,0.6612,0.6867,0.782
RandomForest,123,H3K4me3-H3K27ac-H3K27me3,,68.4,0.7613,72.2,0.7929,0.7699,0.7297,0.6722,0.6998,0.759
RandomForest,42,H3K4me3-H3K27ac-H3K27me3,,73.7,0.8161,74.8,0.8226,0.7816,0.7252,0.7376,0.7313,0.767
RandomForest,456,H3K4me3-H3K27ac-H3K27me3,,71.7,0.7935,69.5,0.7694,0.7313,0.6815,0.6744,0.6779,0.777
RandomForest,789,H3K4me3-H3K27ac-H3K27me3,,69.5,0.7765,71.1,0.7947,0.7736,0.695,0.7023,0.6986,0.752
RandomForest,1011,H3K9ac-H3K9me3-H3K27ac,,70.9,0.7886,71.5,0.786,0.761,0.7168,0.6798,0.6978,0.808
RandomForest,123,H3K9ac-H3K9me3-H3K27ac,,68.8,0.7547,71.5,0.7838,0.7439,0.7234,0.6618,0.6912,0.787
RandomForest,42,H3K9ac-H3K9me3-H3K27ac,,72.0,0.8059,72.7,0.8059,0.7623,0.7051,0.7097,0.7074,0.763
RandomForest,456,H3K9ac-H3K9me3-H3K27ac,,71.6,0.7868,68.0,0.7645,0.7175,0.6749,0.6324,0.6529,0.768
RandomForest,789,H3K9ac-H3K9me3-H3K27ac,,70.2,0.7837,71.8,0.7913,0.7664,0.7061,0.7002,0.7032,0.769
RandomForest,1011,H3K9ac-H3K9me3-H3K27me3,,69.4,0.7786,70.9,0.7911,0.7721,0.6982,0.7025,0.7003,0.786
RandomForest,123,H3K9ac-H3K9me3-H3K27me3,,69.0,0.7599,72.2,0.8015,0.7714,0.7372,0.6577,0.6952,0.775
RandomForest,42,H3K9ac-H3K9me3-H3K27me3,,73.3,0.8074,74.4,0.8177,0.7802,0.7191,0.7376,0.7282,0.77
RandomForest,456,H3K9ac-H3K9me3-H3K27me3,,69.9,0.7793,68.5,0.7618,0.7301,0.666,0.6786,0.6722,0.797
RandomForest,789,H3K9ac-H3K9me3-H3K27me3,,70.3,0.7838,72.3,0.7942,0.7827,0.7137,0.7002,0.7069,0.754
RandomForest,1011,H3K9ac-H3K27ac-H3K27me3,,69.7,0.7852,71.6,0.7926,0.767,0.7101,0.6983,0.7042,0.798
RandomForest,123,H3K9ac-H3K27ac-H3K27me3,,69.1,0.7646,71.4,0.8005,0.7643,0.7227,0.6598,0.6898,0.769
RandomForest,42,H3K9ac-H3K27ac-H3K27me3,,73.9,0.8111,73.8,0.8177,0.7738,0.7202,0.714,0.7171,0.756
RandomForest,456,H3K9ac-H3K27ac-H3K27me3,,71.5,0.7922,68.3,0.7653,0.7329,0.671,0.6555,0.6631,0.779
RandomForest,789,H3K9ac-H3K27ac-H3K27me3,,70.4,0.7844,72.3,0.7993,0.7827,0.7119,0.7044,0.7081,0.761
RandomForest,1011,H3K9me3-H3K27ac-H3K27me3,,70.3,0.7862,70.1,0.7849,0.756,0.6998,0.6694,0.6843,0.762
RandomForest,123,H3K9me3-H3K27ac-H3K27me3,,68.0,0.7495,72.1,0.7852,0.7483,0.7251,0.6784,0.701,0.762
RandomForest,42,H3K9me3-H3K27ac-H3K27me3,,73.1,0.8125,72.6,0.8153,0.7779,0.7099,0.6946,0.7022,0.725
RandomForest,456,H3K9me3-H3K27ac-H3K27me3,,71.6,0.7805,68.0,0.757,0.7238,0.6681,0.6513,0.6596,0.768
RandomForest,789,H3K9me3-H3K27ac-H3K27me3,,69.8,0.7817,70.9,0.7907,0.7823,0.697,0.6897,0.6934,0.756
RandomForest,1011,H3K4me3-H3K9ac-H3K9me3-H3K27ac,,72.2,0.7929,70.2,0.7863,0.7665,0.7039,0.6632,0.683,0.794
RandomForest,123,H3K4me3-H3K9ac-H3K9me3-H3K27ac,,68.5,0.7549,70.5,0.7804,0.7492,0.7101,0.6556,0.6818,0.781
RandomForest,42,H3K4me3-H3K9ac-H3K9me3-H3K27ac,,73.2,0.8093,73.8,0.8086,0.7694,0.7119,0.7333,0.7225,0.757
RandomForest,456,H3K4me3-H3K9ac-H3K9me3-H3K27ac,,71.5,0.7912,68.6,0.7658,0.7251,0.6776,0.6492,0.6631,0.791
RandomForest,789,H3K4me3-H3K9ac-H3K9me3-H3K27ac,,69.4,0.7761,71.6,0.7932,0.7658,0.7049,0.696,0.7004,0.76
RandomForest,1011,H3K4me3-H3K9ac-H3K9me3-H3K27me3,,71.1,0.7855,70.4,0.7913,0.7743,0.7026,0.6736,0.6878,0.778
RandomForest,123,H3K4me3-H3K9ac-H3K9me3-H3K27me3,,69.0,0.7601,72.1,0.7979,0.772,0.7366,0.6556,0.6937,0.78
RandomForest,42,H3K4me3-H3K9ac-H3K9me3-H3K27me3,,73.7,0.8097,75.6,0.8178,0.7787,0.7326,0.7484,0.7404,0.754
RandomForest,456,H3K4me3-H3K9ac-H3K9me3-H3K27me3,,71.5,0.7845,69.2,0.7611,0.7301,0.6757,0.6786,0.6771,0.812
RandomForest,789,H3K4me3-H3K9ac-H3K9me3-H3K27me3,,69.4,0.7752,71.9,0.7949,0.7814,0.7033,0.7107,0.707,0.743
RandomForest,1011,H3K4me3-H3K9ac-H3K27ac-H3K27me3,,71.6,0.7912,71.4,0.7937,0.7719,0.7162,0.6777,0.6964,0.776
RandomForest,123,H3K4me3-H3K9ac-H3K27ac-H3K27me3,,69.0,0.7656,72.0,0.7996,0.775,0.7295,0.666,0.6963,0.781
RandomForest,42,H3K4me3-H3K9ac-H3K27ac-H3K27me3,,74.9,0.8147,74.9,0.819,0.7787,0.7229,0.7462,0.7344,0.759
RandomForest,456,H3K4me3-H3K9ac-H3K27ac-H3K27me3,,71.5,0.7926,69.0,0.7678,0.7341,0.6774,0.666,0.6716,0.794
RandomForest,789,H3K4me3-H3K9ac-H3K27ac-H3K27me3,,69.3,0.7778,72.0,0.7984,0.7777,0.7048,0.7107,0.7077,0.76
RandomForest,1011,H3K4me3-H3K9me3-H3K27ac-H3K27me3,,70.7,0.7901,70.9,0.792,0.7704,0.7178,0.657,0.6861,0.785
RandomForest,123,H3K4me3-H3K9me3-H3K27ac-H3K27me3,,69.0,0.76,72.3,0.7921,0.7734,0.7293,0.6763,0.7018,0.757
RandomForest,42,H3K4me3-H3K9me3-H3K27ac-H3K27me3,,73.5,0.8142,74.4,0.8213,0.77,0.7219,0.7312,0.7265,0.744
RandomForest,456,H3K4me3-H3K9me3-H3K27ac-H3K27me3,,72.7,0.7955,69.8,0.7679,0.7281,0.6883,0.6681,0.678,0.8
RandomForest,789,H3K4me3-H3K9me3-H3K27ac-H3K27me3,,69.5,0.7783,71.0,0.7984,0.7816,0.6936,0.7023,0.6979,0.754
RandomForest,1011,H3K9ac-H3K9me3-H3K27ac-H3K27me3,,71.1,0.7857,71.7,0.7972,0.771,0.7161,0.688,0.7018,0.78
RandomForest,123,H3K9ac-H3K9me3-H3K27ac-H3K27me3,,68.5,0.7614,72.1,0.799,0.7667,0.7271,0.6743,0.6997,0.777
RandomForest,42,H3K9ac-H3K9me3-H3K27ac-H3K27me3,,73.7,0.8151,73.7,0.8184,0.7793,0.7131,0.7269,0.7199,0.753
RandomForest,456,H3K9ac-H3K9me3-H3K27ac-H3K27me3,,71.2,0.7874,69.5,0.771,0.7393,0.6831,0.6702,0.6766,0.78
RandomForest,789,H3K9ac-H3K9me3-H3K27ac-H3K27me3,,71.0,0.785,72.5,0.7984,0.7905,0.7122,0.7107,0.7114,0.769
RandomForest,1011,H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,,71.0,0.7856,72.5,0.7961,0.777,0.7287,0.688,0.7078,0.793
RandomForest,123,H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,,69.1,0.76,71.9,0.7973,0.7752,0.7354,0.6515,0.6909,0.769
RandomForest,42,H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,,74.3,0.8139,74.6,0.8183,0.776,0.723,0.7355,0.7292,0.75
RandomForest,456,H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,,71.4,0.7928,70.0,0.7707,0.7359,0.6872,0.6786,0.6829,0.804
RandomForest,789,H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,,69.1,0.7805,72.2,0.7991,0.7818,0.7086,0.7086,0.7086,0.763
