model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
LogisticRegression,1011,H3K4me3-H3K9me3-H3K27ac,,68.4,0.7434,68.8,0.7326,0.686,0.7048,0.6116,0.6549,0.725
LogisticRegression,123,H3K4me3-H3K9me3-H3K27ac,,65.9,0.7059,67.6,0.7063,0.6446,0.6872,0.6017,0.6416,0.696
LogisticRegression,42,H3K4me3-H3K9me3-H3K27ac,,71.6,0.7612,68.5,0.7303,0.6781,0.6596,0.6667,0.6631,0.723
LogisticRegression,456,H3K4me3-H3K9me3-H3K27ac,,68.2,0.7399,66.5,0.7174,0.6573,0.649,0.645,0.647,0.739
LogisticRegression,789,H3K4me3-H3K9me3-H3K27ac,,64.8,0.6948,67.9,0.7399,0.6976,0.6749,0.631,0.6522,0.707
LogisticRegression,1011,H3K4me3-H3K9me3-H3K27me3,,69.0,0.7432,65.5,0.7181,0.6728,0.662,0.5868,0.6221,0.729
LogisticRegression,123,H3K4me3-H3K9me3-H3K27me3,,64.7,0.6987,67.0,0.7238,0.6603,0.6681,0.6266,0.6467,0.725
LogisticRegression,42,H3K4me3-H3K9me3-H3K27me3,,68.6,0.7556,68.4,0.7444,0.6931,0.6595,0.6624,0.6609,0.729
LogisticRegression,456,H3K4me3-H3K9me3-H3K27me3,,66.8,0.7254,65.7,0.6999,0.6574,0.6436,0.6261,0.6347,0.748
LogisticRegression,789,H3K4me3-H3K9me3-H3K27me3,,63.8,0.6937,70.0,0.7596,0.7162,0.692,0.6688,0.6802,0.71
LogisticRegression,1011,H3K4me3-H3K27ac-H3K27me3,,69.1,0.7453,66.9,0.7243,0.6728,0.6727,0.6157,0.6429,0.756
LogisticRegression,123,H3K4me3-H3K27ac-H3K27me3,,66.3,0.7032,67.2,0.7273,0.6867,0.6689,0.6328,0.6503,0.738
LogisticRegression,42,H3K4me3-H3K27ac-H3K27me3,,70.3,0.7664,68.1,0.7451,0.6938,0.6573,0.6559,0.6566,0.747
LogisticRegression,456,H3K4me3-H3K27ac-H3K27me3,,68.2,0.7413,66.8,0.711,0.6595,0.6579,0.6303,0.6438,0.75
LogisticRegression,789,H3K4me3-H3K27ac-H3K27me3,,65.4,0.7006,70.7,0.7528,0.7116,0.7044,0.6646,0.6839,0.728
LogisticRegression,1011,H3K9ac-H3K9me3-H3K27ac,,66.8,0.7288,66.8,0.712,0.6676,0.6751,0.6054,0.6383,0.73
LogisticRegression,123,H3K9ac-H3K9me3-H3K27ac,,66.8,0.7101,68.2,0.7242,0.6681,0.6971,0.6017,0.6459,0.719
LogisticRegression,42,H3K9ac-H3K9me3-H3K27ac,,69.6,0.7481,69.2,0.7238,0.6773,0.6741,0.6538,0.6638,0.722
LogisticRegression,456,H3K9ac-H3K9me3-H3K27ac,,68.6,0.7503,64.0,0.6907,0.6407,0.6283,0.5966,0.6121,0.736
LogisticRegression,789,H3K9ac-H3K9me3-H3K27ac,,66.9,0.7125,68.6,0.7193,0.6749,0.6848,0.6331,0.658,0.735
