gene_id,E000,E003,E004,E005,E006,E007,E011,E012,E013,E016,E024,E027,E028,E037,E038,E047,E050,E053,E054,E055,E056,E057,E058,E059,E061,E062,E065,E066,E070,E071,E079,E082,E084,E085,E087,E094,E095,E096,E097,E098,E100,E104,E105,E106,E109,E112,E113,E114,E116,E117,E118,E119,E120,E122,E123,E127,E128
ENSG00000117419,32.64,24.076,26.868,13.286,18.307,33.462,24.548,27.254,19.083,30.872,36.434,35.884,24.17,12.459,17.028,15.512,17.397,37.77,36.56,38.697,46.847,46.554,32.038,72.407,39.601,12.864,18.763,19.607,45.345,43.359,15.908,47.607,14.533,13.612,30.086,21.068,28.612,17.18,23.352,18.133,40.615,23.041,37.826,14.758,16.041,15.29,17.412,20.369,16.988,28.021,22.705,46.291,30.597,51.183,44.195,27.72,21.007
ENSG00000117425,0.879,0.235,0.184,0.078,0.435,0.266,2.909,2.387,1.75,9.436,0.859,1.447,0.642,1.242,2.727,2.405,0.516,2.221,3.292,0.231,0.18,0.134,0.061,0.088,0.161,1.478,0.53,0.351,5.851,3.404,1.293,18.882,2.393,1.981,2.093,0.323,0.221,0.526,15.578,2.351,0.329,0.394,0.464,0.457,0.3,0.888,1.916,0.146,0.069,0.184,1.572,0.034,0.053,2.248,0.393,0.08,0.131
ENSG00000117448,35.101,46.667,33.927,19.318,29.484,47.772,40.754,50.497,30.084,54.685,52.916,17.932,17.521,13.275,15.701,15.183,44.772,22.881,21.36,30.185,37.49,41.449,19.218,36.79,20.078,21.742,60.757,124.457,41.579,26.19,66.873,33.537,57.111,59.937,45.286,97.79,21.244,78.224,29.212,66.206,14.396,26.354,33.555,54.467,83.441,41.868,53.543,31.563,83.552,40.538,66.638,38.986,25.894,71.909,79.476,32.921,27.84
ENSG00000117450,305.12,549.01,647.748,320.727,278.668,258.101,335.594,236.845,325.709,486.5,460.369,346.245,142.007,29.147,17.995,15.593,154.944,92.255,101.476,109.773,211.204,269.993,257.674,316.696,214.1,28.859,326.005,475.81,139.459,331.602,517.763,71.694,94.732,90.148,101.69,488.187,301.113,649.683,179.6,105.907,521.028,676.683,350.7,263.455,383.294,233.87,305.51,1069.58,444.778,887.162,403.443,381.049,434.203,315.182,617.166,572.562,320.047
ENSG00000117461,6.632,3.429,3.787,2.858,8.325,26.475,23.02,25.304,5.323,8.839,5.854,1.659,5.514,0.401,0.127,0.246,0.848,25.21,32.459,0.361,0.374,0.871,1.542,1.701,4.58,0.734,2.113,1.799,6.344,4.241,7.458,10.831,3.452,2.037,7.757,4.108,25.109,8.049,5.408,2.253,11.374,15.381,23.268,4.579,10.403,9.974,7.582,0.981,12.735,16.563,0.239,5.463,7.776,5.071,2.995,6.271,2.631
ENSG00000117472,1.287,0.021,0.015,0.608,0.078,0.006,0.048,0.0,0.149,0.0,0.02,0.786,109.419,0.087,0.233,0.209,0.021,0.031,0.035,1.007,0.537,17.643,38.12,0.62,0.004,0.072,14.422,4.185,0.141,0.296,13.968,0.588,6.56,23.795,28.591,125.691,1.344,76.48,0.417,3.874,1.489,0.747,1.867,613.738,61.502,3.867,1.274,0.923,0.067,11.921,2.051,316.731,1.36,0.244,0.004,176.666,0.204
ENSG00000117475,7.584,3.763,5.952,7.216,11.678,5.005,5.884,6.42,8.998,6.321,3.996,10.165,26.488,5.954,6.216,5.301,20.998,3.855,4.91,7.314,3.666,5.452,17.659,1.77,6.251,3.874,25.608,5.463,3.574,6.119,14.65,2.38,10.02,9.626,8.999,10.091,8.747,7.136,7.391,3.784,13.232,8.986,8.503,6.365,7.339,12.534,6.9,13.924,11.154,17.199,3.213,11.836,10.687,2.835,17.169,25.528,13.7
ENSG00000117477,0.932,3.386,2.982,0.253,0.121,10.251,4.972,6.484,1.214,3.552,2.794,0.792,0.217,0.106,0.096,0.285,1.991,1.442,2.134,1.766,0.29,0.013,0.105,0.01,0.167,0.082,2.683,0.047,2.952,16.187,0.057,2.129,0.695,0.301,9.737,1.85,0.821,3.827,4.126,2.492,1.638,1.447,0.74,0.147,0.168,0.481,0.045,0.131,0.0,0.002,0.011,0.0,0.373,0.091,0.008,0.002,0.163
ENSG00000117479,18.602,24.911,17.296,23.917,5.935,12.377,11.489,9.241,6.617,12.448,25.322,36.145,6.788,3.208,4.131,5.291,9.189,3.648,3.92,3.29,2.892,3.194,6.891,15.642,33.466,5.03,4.216,20.795,3.337,2.177,13.537,4.351,7.42,9.278,9.039,9.873,44.609,19.928,7.027,15.147,72.187,24.926,42.196,4.253,13.089,20.626,3.582,10.037,7.519,77.019,57.361,5.915,7.604,5.583,38.938,9.778,3.742
ENSG00000117480,2.86,4.914,1.607,0.908,0.239,1.682,1.459,1.965,0.668,3.126,7.477,2.017,4.044,2.499,3.068,2.739,5.927,1.226,2.076,0.481,0.188,4.835,2.528,0.485,0.765,4.998,3.24,37.496,7.638,37.832,15.848,19.954,8.68,11.159,11.954,30.551,2.034,24.562,4.859,96.496,2.529,6.751,3.371,24.403,30.188,18.576,5.798,0.435,0.957,0.154,4.505,2.984,0.509,0.518,0.601,3.799,0.24
