histone_marker,model,val_accuracy_mean,val_accuracy_std,val_auc_mean,val_auc_std,test_accuracy_mean,test_accuracy_std,test_auc_mean,test_auc_std
H3K4me3-H3K9me3-H3K27ac-H3K27me3,LogisticRegression,72.2,2.6608,0.7742,0.0285,72.52,1.3461,0.7825,0.0169
H3K4me3-H3K9me3-H3K27ac-H3K27me3,SVM_Linear,71.86,2.5165,0.774,0.0268,71.72,1.4464,0.7815,0.0166
H3K4me3-H3K9me3-H3K27me3,RandomForest,73.26,2.4337,0.8134,0.0251,73.62,0.7259,0.8133,0.0075
H3K4me3-H3K9me3-H3K27me3,DirectRanker,72.94,1.4415,0.818,0.0217,71.48,0.6979,0.8105,0.0079
H3K4me3-H3K9me3-H3K27me3,LogisticRegression,71.42,2.5888,0.7735,0.0294,71.06,1.6118,0.7703,0.0178
H3K4me3-H3K9me3-H3K27me3,SVM_Linear,71.16,2.4183,0.7738,0.0281,70.4,1.4089,0.7708,0.0166
H3K9ac,RandomForest,73.98,2.5499,0.815,0.0236,72.84,0.929,0.8143,0.017
H3K9ac,LogisticRegression,72.82,2.2432,0.7908,0.0228,72.24,1.2033,0.794,0.0126
H3K9ac,SVM_Linear,72.8,2.1083,0.7909,0.0219,72.12,1.006,0.7949,0.0136
H3K9ac,DirectRanker,72.12,1.5849,0.816,0.0207,71.6,1.6583,0.817,0.0117
H3K9ac-H3K27ac,RandomForest,75.12,2.6205,0.8336,0.0232,76.02,1.0895,0.8417,0.0102
H3K9ac-H3K27ac,DirectRanker,73.54,1.6682,0.826,0.0251,73.6,0.9028,0.8309,0.0099
H3K9ac-H3K27ac,LogisticRegression,73.5,2.5739,0.7943,0.0211,73.06,1.4993,0.801,0.0159
H3K9ac-H3K27ac,SVM_Linear,73.18,2.1382,0.7948,0.019,73.0,1.7536,0.8003,0.0165
H3K9ac-H3K27ac-H3K27me3,RandomForest,75.22,2.4222,0.8344,0.0206,75.94,1.1992,0.8407,0.0094
H3K9ac-H3K27ac-H3K27me3,DirectRanker,73.82,1.3084,0.826,0.0207,74.06,1.4673,0.8305,0.0101
H3K9ac-H3K27ac-H3K27me3,SVM_Linear,72.88,2.1206,0.787,0.0204,72.44,1.4707,0.793,0.0176
H3K9ac-H3K27ac-H3K27me3,LogisticRegression,72.76,2.1755,0.7836,0.0215,72.3,1.6778,0.7892,0.0168
H3K9ac-H3K27me3,RandomForest,74.0,2.3527,0.8181,0.0221,72.62,1.1606,0.8157,0.0163
H3K9ac-H3K27me3,DirectRanker,72.5,1.5116,0.814,0.0207,72.1,1.3784,0.8157,0.0089
H3K9ac-H3K27me3,LogisticRegression,72.48,2.1183,0.7804,0.0229,71.54,1.2219,0.7817,0.014
H3K9ac-H3K27me3,SVM_Linear,72.32,1.9905,0.7833,0.0222,71.52,1.152,0.7846,0.0155
H3K9ac-H3K9me3,RandomForest,73.96,2.8139,0.8188,0.0239,72.8,0.6245,0.8151,0.0149
H3K9ac-H3K9me3,DirectRanker,71.96,1.8582,0.814,0.0241,71.38,1.8472,0.8124,0.0133
H3K9ac-H3K9me3,LogisticRegression,71.84,1.8876,0.7743,0.0198,71.12,0.9731,0.7756,0.0152
H3K9ac-H3K9me3,SVM_Linear,71.26,2.1824,0.7688,0.0232,70.46,1.0644,0.7681,0.0133
H3K9ac-H3K9me3-H3K27ac,RandomForest,75.36,2.6501,0.835,0.0235,75.82,1.2755,0.8412,0.0089
H3K9ac-H3K9me3-H3K27ac,DirectRanker,73.62,1.489,0.822,0.0217,73.6,0.866,0.8277,0.0102
H3K9ac-H3K9me3-H3K27ac,LogisticRegression,72.14,2.0477,0.7787,0.0186,72.02,1.545,0.7847,0.0163
H3K9ac-H3K9me3-H3K27ac,SVM_Linear,71.66,2.0501,0.7737,0.0177,71.36,1.1718,0.7785,0.0135
H3K9ac-H3K9me3-H3K27ac-H3K27me3,RandomForest,75.2,2.601,0.8345,0.0214,75.8,1.1853,0.8409,0.0085
H3K9ac-H3K9me3-H3K27ac-H3K27me3,DirectRanker,73.38,1.4856,0.824,0.0195,74.42,1.3084,0.832,0.0077
H3K9ac-H3K9me3-H3K27ac-H3K27me3,SVM_Linear,71.48,2.0885,0.7685,0.0195,71.44,1.5789,0.7724,0.0189
H3K9ac-H3K9me3-H3K27ac-H3K27me3,LogisticRegression,71.86,2.1984,0.7702,0.0205,71.4,1.779,0.7747,0.0181
H3K9ac-H3K9me3-H3K27me3,RandomForest,74.28,2.3499,0.8184,0.0206,73.1,0.7906,0.8167,0.0133
H3K9ac-H3K9me3-H3K27me3,DirectRanker,72.04,1.6441,0.814,0.0241,71.78,1.7754,0.8149,0.0124
H3K9ac-H3K9me3-H3K27me3,LogisticRegression,71.38,1.9045,0.7644,0.0209,70.54,1.1216,0.7646,0.0171
H3K9ac-H3K9me3-H3K27me3,SVM_Linear,70.98,2.1052,0.7621,0.023,70.28,1.1777,0.762,0.0167
H3K9me3,RandomForest,52.86,1.352,0.5213,0.0067,51.92,0.9257,0.5302,0.0106
