model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
SVM_Linear,1011,H3K9me3-H3K27me3,,52.1,0.5226,51.4,0.5274,0.5302,0.6739,0.0618,0.1131,0.063
SVM_Linear,123,H3K9me3-H3K27me3,,51.1,0.5227,52.0,0.5125,0.5071,0.62,0.063,0.1144,0.06
SVM_Linear,42,H3K9me3-H3K27me3,,54.0,0.5096,51.7,0.5064,0.4915,0.475,0.0395,0.0729,0.058
SVM_Linear,456,H3K9me3-H3K27me3,,54.2,0.5367,50.7,0.5081,0.4949,0.4407,0.0535,0.0954,0.069
SVM_Linear,789,H3K9me3-H3K27me3,,52.8,0.5101,49.8,0.508,0.5175,0.5094,0.0537,0.0971,0.071
SVM_Linear,1011,H3K27ac-H3K27me3,,67.9,0.7512,71.7,0.7872,0.7583,0.7626,0.6335,0.6921,0.752
SVM_Linear,123,H3K27ac-H3K27me3,,72.3,0.7808,72.8,0.7921,0.7757,0.7644,0.6463,0.7004,0.743
SVM_Linear,42,H3K27ac-H3K27me3,,74.1,0.8077,74.6,0.8186,0.7935,0.7646,0.6819,0.7209,0.765
SVM_Linear,456,H3K27ac-H3K27me3,,74.2,0.8097,71.8,0.7739,0.7638,0.7464,0.6358,0.6867,0.772
SVM_Linear,789,H3K27ac-H3K27me3,,71.0,0.7614,71.8,0.7923,0.7708,0.7637,0.6362,0.6941,0.768
SVM_Linear,1011,H3K4me3-H3K9ac-H3K9me3,,68.7,0.7428,72.2,0.7891,0.7688,0.7667,0.6414,0.6985,0.746
SVM_Linear,123,H3K4me3-H3K9ac-H3K9me3,,73.1,0.7997,70.5,0.7728,0.7437,0.7307,0.6341,0.679,0.752
SVM_Linear,42,H3K4me3-H3K9ac-H3K9me3,,71.3,0.7689,72.3,0.7859,0.755,0.7208,0.6923,0.7063,0.744
SVM_Linear,456,H3K4me3-H3K9ac-H3K9me3,,73.8,0.8106,71.1,0.764,0.7256,0.7264,0.6502,0.6862,0.77
