histone_marker,model,val_accuracy_mean,val_accuracy_std,val_auc_mean,val_auc_std,test_accuracy_mean,test_accuracy_std,test_auc_mean,test_auc_std
H3K9ac,RandomForest,69.2,1.3583,0.7641,0.014,69.74,1.7813,0.7674,0.0166
H3K9ac,LogisticRegression,68.18,1.5255,0.7314,0.0176,67.6,2.0457,0.7293,0.0265
H3K9ac,SVM_Linear,68.08,1.6843,0.7321,0.0172,67.48,2.308,0.7299,0.0261
H3K9ac,DirectRanker,67.22,1.5991,0.744,0.0261,67.46,1.176,0.7471,0.0206
H3K9ac-H3K27ac,RandomForest,70.78,1.5834,0.7841,0.0186,71.1,1.8371,0.7863,0.0162
H3K9ac-H3K27ac,DirectRanker,68.32,1.6932,0.762,0.0205,68.42,1.4132,0.761,0.0149
H3K9ac-H3K27ac,LogisticRegression,68.54,1.3539,0.7321,0.0174,67.84,0.8173,0.7205,0.0133
H3K9ac-H3K27ac,SVM_Linear,68.36,1.2934,0.7321,0.0176,67.36,1.3088,0.7204,0.0127
H3K9ac-H3K27ac-H3K27me3,RandomForest,70.92,1.89,0.7875,0.0167,71.48,2.0117,0.7951,0.0191
H3K9ac-H3K27ac-H3K27me3,DirectRanker,69.3,1.6371,0.768,0.0205,69.4,2.1989,0.7726,0.024
H3K9ac-H3K27ac-H3K27me3,LogisticRegression,67.24,1.0831,0.7305,0.0191,67.4,1.6912,0.7258,0.0234
H3K9ac-H3K27ac-H3K27me3,SVM_Linear,67.16,1.1908,0.7304,0.0198,67.32,1.6022,0.7253,0.0222
H3K9ac-H3K27me3,RandomForest,70.52,1.8939,0.781,0.018,71.8,2.359,0.7927,0.0202
H3K9ac-H3K27me3,DirectRanker,68.86,1.6861,0.766,0.023,68.82,2.321,0.7703,0.0301
H3K9ac-H3K27me3,SVM_Linear,67.64,1.3795,0.7327,0.0167,68.02,2.921,0.7357,0.0354
H3K9ac-H3K27me3,LogisticRegression,67.6,1.5033,0.7324,0.0164,67.92,3.1324,0.7354,0.037
H3K9ac-H3K9me3,RandomForest,69.66,1.7387,0.768,0.0163,70.18,1.8939,0.7749,0.0153
H3K9ac-H3K9me3,DirectRanker,68.08,2.0401,0.758,0.0286,67.94,1.4484,0.7552,0.0168
H3K9ac-H3K9me3,LogisticRegression,68.04,1.1971,0.729,0.0189,67.64,2.0756,0.7214,0.026
H3K9ac-H3K9me3,SVM_Linear,67.7,1.3134,0.7302,0.018,67.26,2.1927,0.7225,0.0241
H3K9ac-H3K9me3-H3K27ac,RandomForest,70.7,1.2649,0.7839,0.0185,71.1,1.8014,0.7863,0.0149
H3K9ac-H3K9me3-H3K27ac,DirectRanker,69.16,2.0707,0.768,0.0259,68.52,1.1541,0.7659,0.0162
H3K9ac-H3K9me3-H3K27ac,LogisticRegression,67.74,1.2915,0.73,0.019,67.36,2.0756,0.714,0.0139
H3K9ac-H3K9me3-H3K27ac,SVM_Linear,67.4,1.3638,0.7311,0.0186,66.84,1.7587,0.7126,0.0117
H3K9ac-H3K9me3-H3K27ac-H3K27me3,RandomForest,71.1,1.8398,0.7869,0.019,71.9,1.5362,0.7968,0.0169
H3K9ac-H3K9me3-H3K27ac-H3K27me3,DirectRanker,69.52,1.6589,0.778,0.0179,69.38,2.0596,0.7763,0.0206
H3K9ac-H3K9me3-H3K27ac-H3K27me3,LogisticRegression,66.84,1.4926,0.7223,0.0177,66.4,2.1331,0.7137,0.0192
H3K9ac-H3K9me3-H3K27ac-H3K27me3,SVM_Linear,66.28,1.1841,0.7227,0.0172,65.78,2.0303,0.7112,0.0174
H3K9ac-H3K9me3-H3K27me3,RandomForest,70.38,1.705,0.7818,0.017,71.66,2.1663,0.7933,0.0204
H3K9ac-H3K9me3-H3K27me3,DirectRanker,68.62,2.0179,0.772,0.0217,69.22,2.0777,0.7736,0.0259
H3K9ac-H3K9me3-H3K27me3,SVM_Linear,66.64,1.0597,0.7232,0.0135,67.28,3.0285,0.721,0.0273
H3K9ac-H3K9me3-H3K27me3,LogisticRegression,66.58,1.006,0.7223,0.0152,66.98,3.2553,0.7206,0.0291
H3K9me3,RandomForest,59.26,2.0768,0.6203,0.027,59.3,1.5716,0.6209,0.018
H3K9me3,LogisticRegression,57.18,2.1822,0.5845,0.0262,57.08,1.5579,0.5831,0.0152
H3K9me3,SVM_Linear,56.56,1.5192,0.5859,0.0269,56.72,1.2598,0.5831,0.0158
H3K9me3,DirectRanker,56.3,2.1342,0.598,0.0239,56.3,0.7382,0.608,0.0139
H3K9me3-H3K27ac,RandomForest,70.38,1.878,0.7784,0.0208,70.64,1.3483,0.7833,0.0149
H3K9me3-H3K27ac,DirectRanker,68.48,2.3059,0.764,0.0241,67.96,1.6979,0.7653,0.0209
H3K9me3-H3K27ac,LogisticRegression,67.28,1.5023,0.7188,0.0221,66.92,2.3784,0.7095,0.0201
H3K9me3-H3K27ac,SVM_Linear,67.14,1.7444,0.7192,0.0225,66.74,2.2689,0.7093,0.0194
H3K9me3-H3K27ac-H3K27me3,RandomForest,70.56,1.9191,0.7821,0.0224,70.74,1.8202,0.7866,0.0207
H3K9me3-H3K27ac-H3K27me3,DirectRanker,68.82,1.4272,0.764,0.0195,68.88,2.3091,0.7712,0.0294
H3K9me3-H3K27ac-H3K27me3,LogisticRegression,66.58,1.6022,0.7112,0.0222,66.4,2.4668,0.7076,0.0203
H3K9me3-H3K27ac-H3K27me3,SVM_Linear,66.12,1.8647,0.711,0.023,66.3,2.1691,0.7075,0.0206
H3K9me3-H3K27me3,RandomForest,65.04,2.305,0.6996,0.0198,65.92,2.2554,0.7088,0.0308
H3K9me3-H3K27me3,DirectRanker,64.04,1.4639,0.7,0.02,64.26,2.3586,0.7088,0.0334
H3K9me3-H3K27me3,LogisticRegression,61.48,1.1167,0.6584,0.0136,63.3,2.1737,0.6719,0.0248
H3K9me3-H3K27me3,SVM_Linear,61.24,1.2462,0.658,0.0129,62.76,1.9629,0.6717,0.0253
