gene_id,H3K9ac_wc,H3K9me3_wc,H3K4me3_wc,H3K27ac_wc,H3K27me3_wc,E066
ENSG00000110955,27,0,26,24,0,494.232
ENSG00000135094,24,0,18,28,0,491.905
ENSG00000169714,55,0,53,86,0,491.253
ENSG00000099795,14,0,15,9,0,490.344
ENSG00000149806,37,0,28,52,0,486.453
ENSG00000242515,0,0,0,0,0,486.352
ENSG00000124713,17,0,21,20,0,481.294
ENSG00000117450,32,0,33,30,0,475.81
ENSG00000127184,15,0,19,16,8,470.47
ENSG00000072778,22,0,39,58,0,469.934
ENSG00000150991,87,0,62,99,0,465.685
ENSG00000005421,67,0,77,80,0,458.575
ENSG00000159189,0,0,16,8,0,458.226
ENSG00000196126,18,0,17,19,0,458.088
ENSG00000176919,65,0,69,100,0,457.605
ENSG00000136156,49,0,51,61,0,455.069
ENSG00000173369,0,0,15,0,7,454.829
ENSG00000129596,53,0,51,57,0,453.054
ENSG00000121691,36,0,59,50,0,453.05
ENSG00000173372,0,0,4,0,11,451.355
ENSG00000090013,26,0,28,50,0,441.344
ENSG00000205403,35,2,43,33,0,440.137
ENSG00000151790,3,0,7,10,0,439.147
ENSG00000101323,58,0,50,64,0,438.901
ENSG00000198258,18,0,22,10,0,438.313
ENSG00000182551,45,0,54,79,0,434.931
ENSG00000105398,48,0,50,53,0,433.805
ENSG00000108518,57,0,64,80,0,433.679
ENSG00000198502,12,0,7,7,0,432.246
ENSG00000039537,0,0,0,13,0,431.99
ENSG00000101981,34,0,36,40,0,428.956
ENSG00000120053,84,0,87,83,0,423.701
ENSG00000204525,29,0,27,27,0,421.26
ENSG00000079557,26,0,42,58,0,419.793
ENSG00000140505,5,0,33,31,0,417.94
ENSG00000060762,53,0,52,82,0,411.06
ENSG00000107223,21,0,26,36,0,410.599
ENSG00000166228,41,0,41,50,0,410.054
ENSG00000128311,61,0,67,93,0,410.023
ENSG00000250644,33,0,27,81,0,409.684
ENSG00000130005,46,0,26,56,0,403.573
ENSG00000126432,27,0,27,45,0,401.097
ENSG00000204592,36,0,35,34,0,399.221
ENSG00000205362,24,0,39,85,0,394.847
ENSG00000117984,40,0,35,58,0,393.054
ENSG00000139209,16,0,25,30,0,389.032
ENSG00000124145,59,0,55,62,0,388.905
ENSG00000116285,90,0,71,100,0,386.661
ENSG00000109181,27,0,43,18,0,386.018
ENSG00000171759,0,11,14,0,52,385.337
ENSG00000135929,48,9,55,47,0,385.149
ENSG00000170296,50,0,56,68,0,385.018
ENSG00000183747,22,0,33,14,0,383.92
ENSG00000161574,28,0,33,56,0,382.423
ENSG00000116785,45,0,55,47,0,380.589
ENSG00000116882,55,0,49,66,0,379.093
ENSG00000131482,34,0,50,60,0,377.495
ENSG00000241635,0,0,0,0,0,375.03
ENSG00000129988,60,0,67,83,0,374.929
ENSG00000111775,17,0,19,14,0,370.806
ENSG00000127540,24,0,24,23,0,365.892
ENSG00000105707,47,0,47,74,0,365.297
ENSG00000100652,45,0,64,63,0,365.202
ENSG00000170509,45,0,31,63,0,365.035
ENSG00000140263,28,0,44,61,0,361.994
ENSG00000164733,44,0,45,47,0,360.45
ENSG00000244122,0,0,0,15,0,359.18
ENSG00000100197,10,0,27,46,0,357.948
ENSG00000196620,44,0,46,39,0,357.05
ENSG00000249319,0,0,0,0,0,356.358
ENSG00000163581,72,0,79,83,0,354.673
ENSG00000100219,71,0,75,78,0,354.001
ENSG00000101608,55,0,54,61,0,348.179
ENSG00000160282,38,0,38,57,0,345.587
ENSG00000005022,22,3,26,37,0,345.41
ENSG00000125356,31,2,30,22,0,344.888
ENSG00000205544,17,0,27,28,0,344.43
ENSG00000146674,56,0,36,57,0,342.791
ENSG00000166794,30,0,25,40,0,337.645
ENSG00000136810,42,0,42,60,0,336.343
ENSG00000115884,56,0,58,62,0,334.785
ENSG00000173812,33,0,32,46,0,333.526
ENSG00000206503,25,0,27,33,0,332.608
ENSG00000204444,48,0,44,61,0,331.407
ENSG00000185432,60,0,54,65,0,330.448
ENSG00000259112,27,0,28,26,0,329.215
ENSG00000139547,34,0,40,53,0,328.283
ENSG00000173915,23,0,28,17,0,327.564
ENSG00000188257,0,0,23,51,0,324.263
ENSG00000233276,28,0,33,41,0,322.468
ENSG00000213398,9,0,23,42,0,320.719
ENSG00000115414,60,0,53,69,0,320.387
ENSG00000167244,14,0,0,27,0,320.174
ENSG00000101160,23,0,27,57,0,319.396
ENSG00000109971,59,0,50,50,0,317.42
ENSG00000131187,23,0,25,35,0,315.765
ENSG00000104870,0,0,0,4,0,314.736
ENSG00000139194,62,0,68,67,0,314.421
ENSG00000140107,36,0,40,65,0,307.215
ENSG00000185624,54,0,48,78,0,305.213
ENSG00000184076,23,0,26,17,0,303.489
ENSG00000169020,18,0,24,18,0,303.488
ENSG00000105852,67,0,77,80,0,300.681
ENSG00000115738,77,7,75,87,0,295.931
ENSG00000169903,54,0,48,90,0,295.904
ENSG00000167863,21,0,27,31,0,294.462
ENSG00000101439,12,0,27,35,0,291.923
ENSG00000169562,42,0,42,61,0,291.269
ENSG00000167165,29,0,34,42,0,290.921
ENSG00000135047,29,0,44,39,0,290.652
ENSG00000152234,16,0,14,13,0,290.267
ENSG00000179918,45,0,45,76,0,290.253
ENSG00000211445,44,0,36,87,0,288.047
ENSG00000011600,27,0,15,62,0,288.021
ENSG00000185885,77,0,75,89,0,287.444
ENSG00000118680,60,0,54,90,0,286.736
ENSG00000166598,46,0,50,48,0,286.425
ENSG00000106327,36,0,35,39,0,286.167
ENSG00000140284,53,0,56,61,0,283.531
ENSG00000100889,20,0,21,45,0,283.138
ENSG00000180432,55,0,73,77,0,280.457
ENSG00000226976,0,0,0,6,0,279.88
ENSG00000130303,30,0,39,43,0,279.27
ENSG00000115718,64,0,41,86,0,279.264
ENSG00000170540,34,0,29,69,0,278.095
ENSG00000165475,42,0,40,65,0,277.409
ENSG00000100665,13,0,38,29,0,277.108
ENSG00000182492,4,0,0,39,0,276.464
ENSG00000198610,52,0,45,53,0,275.367
ENSG00000149124,39,0,56,74,0,275.233
ENSG00000108294,23,0,48,44,0,274.061
ENSG00000140093,73,0,73,100,0,273.173
ENSG00000103569,51,0,52,58,0,272.443
ENSG00000134538,14,0,34,35,0,269.595
