kernel_size,pool_size,train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
10,5,0.4878,78.94,0.79,0.5215,77.76,0.78
10,5,0.4861,78.89,0.79,0.5219,77.81,0.78
10,5,0.4862,78.86,0.79,0.522,77.73,0.78
10,5,0.4841,78.9,0.79,0.522,77.81,0.78
10,5,0.4847,78.96,0.79,0.5227,77.7,0.78
10,5,0.4837,78.86,0.79,0.5227,77.77,0.78
10,5,0.485,78.85,0.79,0.5223,77.78,0.78
10,5,0.4836,79.11,0.79,0.523,77.81,0.78
10,5,0.484,78.94,0.79,0.5242,77.88,0.78
10,5,0.4847,78.9,0.79,0.5238,77.71,0.78
10,5,0.4841,79.27,0.79,0.5231,77.74,0.78
10,5,0.4816,79.11,0.79,0.5229,77.84,0.78
10,5,0.4819,79.12,0.79,0.5238,77.76,0.78
10,5,0.4801,79.02,0.79,0.524,77.94,0.78
10,5,0.4819,79.12,0.79,0.5238,77.84,0.78
10,5,0.4807,79.38,0.79,0.5244,77.85,0.78
