kernel_size,pool_size,train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
5,2,0.4804,79.32,0.79,0.4928,78.68,0.78
5,2,0.4799,79.46,0.79,0.4927,78.7,0.78
5,2,0.4789,79.39,0.79,0.4992,78.24,0.78
5,2,0.4791,79.38,0.79,0.4927,78.73,0.78
5,2,0.4798,79.34,0.79,0.4947,78.53,0.78
5,2,0.4769,79.51,0.79,0.4949,78.54,0.78
5,2,0.478,79.42,0.79,0.4929,78.85,0.78
5,2,0.4757,79.42,0.79,0.4926,78.73,0.78
5,2,0.4772,79.43,0.79,0.4934,78.62,0.78
5,2,0.4751,79.43,0.79,0.4993,78.27,0.78
5,2,0.4761,79.44,0.79,0.4939,78.64,0.78
5,2,0.4756,79.48,0.79,0.4929,78.84,0.78
5,2,0.4745,79.5,0.79,0.4936,78.89,0.78
5,2,0.4744,79.55,0.79,0.4929,78.72,0.78
5,2,0.4742,79.59,0.79,0.494,78.69,0.78
5,2,0.4736,79.48,0.79,0.4944,78.64,0.78
5,2,0.4724,79.55,0.79,0.4932,78.88,0.78
5,2,0.4728,79.55,0.79,0.4962,78.5,0.78
5,2,0.4719,79.62,0.79,0.4942,78.7,0.78
5,2,0.4714,79.52,0.79,0.4946,78.72,0.78
5,2,0.4709,79.63,0.79,0.497,78.49,0.78
5,2,0.4717,79.63,0.79,0.4942,78.68,0.78
5,2,0.4715,79.58,0.79,0.4939,78.68,0.78
5,2,0.4706,79.48,0.79,0.494,78.7,0.78
5,2,0.4709,79.58,0.79,0.495,78.93,0.78
5,2,0.4704,79.67,0.79,0.4941,78.88,0.78
5,2,0.4708,79.79,0.79,0.4939,78.89,0.78
5,2,0.4693,79.78,0.79,0.4944,78.81,0.78
5,2,0.47,79.65,0.79,0.495,78.73,0.78
5,2,0.4689,79.77,0.79,0.4938,78.96,0.78
5,2,0.4705,79.7,0.79,0.4951,78.93,0.78
5,2,0.467,79.84,0.79,0.4958,78.66,0.78
5,2,0.4691,79.77,0.79,0.495,78.69,0.78
5,2,0.468,79.7,0.79,0.5012,78.47,0.78
5,2,0.4679,79.9,0.79,0.4977,78.73,0.78
5,2,0.4675,79.94,0.79,0.495,78.7,0.78
5,2,0.4667,79.86,0.79,0.4964,78.55,0.78
5,2,0.4662,79.67,0.79,0.5011,78.5,0.78
5,2,0.4657,79.94,0.79,0.4945,78.88,0.78
5,2,0.4664,79.88,0.79,0.4959,78.88,0.78
5,2,0.4652,79.89,0.79,0.4982,78.58,0.78
5,2,0.4639,79.79,0.79,0.4956,78.8,0.78
5,2,0.4634,80.06,0.79,0.4977,78.58,0.78
5,2,0.4643,79.86,0.79,0.496,78.66,0.78
5,2,0.4639,80.06,0.79,0.4955,78.88,0.78
5,2,0.4617,80.0,0.79,0.4964,78.61,0.78
5,2,0.4618,79.86,0.79,0.4962,78.73,0.78
5,2,0.4638,80.02,0.79,0.4959,78.95,0.78
5,2,0.4623,79.98,0.79,0.4973,78.84,0.78
5,2,0.4607,79.98,0.79,0.496,78.79,0.78
5,2,0.4616,80.19,0.8,0.4969,78.81,0.78
