kernel_size,pool_size,train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
5,5,0.4949,78.82,0.78,0.4971,78.42,0.78
5,5,0.4945,78.78,0.78,0.4971,78.37,0.78
5,5,0.4939,78.82,0.78,0.4963,78.46,0.78
5,5,0.4941,78.92,0.78,0.496,78.47,0.78
5,5,0.4941,78.82,0.78,0.4956,78.73,0.78
5,5,0.4927,78.96,0.78,0.4956,78.47,0.78
5,5,0.4933,78.77,0.78,0.4956,78.45,0.78
5,5,0.4925,78.77,0.78,0.4951,78.58,0.78
5,5,0.4916,79.0,0.78,0.4954,78.42,0.78
5,5,0.4911,78.85,0.78,0.4945,78.77,0.78
5,5,0.4921,78.85,0.78,0.4946,78.83,0.78
5,5,0.4909,78.93,0.78,0.4943,78.73,0.78
5,5,0.4905,79.06,0.78,0.4941,78.79,0.78
5,5,0.49,79.06,0.78,0.4951,78.49,0.78
5,5,0.4902,78.83,0.78,0.4937,78.81,0.78
5,5,0.4888,78.93,0.78,0.4936,78.79,0.78
5,5,0.4885,78.97,0.78,0.4933,78.81,0.78
5,5,0.4886,78.92,0.78,0.494,78.61,0.78
5,5,0.4873,79.13,0.78,0.4932,78.76,0.78
5,5,0.4874,78.9,0.78,0.4931,78.87,0.78
5,5,0.4899,78.97,0.78,0.4934,78.65,0.78
5,5,0.489,79.02,0.78,0.4929,78.76,0.78
5,5,0.487,79.12,0.78,0.4926,78.83,0.78
5,5,0.4869,79.09,0.78,0.4943,78.61,0.78
5,5,0.4859,79.04,0.78,0.4926,78.72,0.78
5,5,0.4862,79.16,0.78,0.4921,78.89,0.78
5,5,0.4857,79.17,0.78,0.4928,78.64,0.78
5,5,0.4853,79.04,0.78,0.492,78.88,0.78
5,5,0.4848,78.98,0.78,0.4918,78.89,0.78
5,5,0.4855,79.13,0.78,0.4918,78.89,0.78
5,5,0.483,79.15,0.78,0.4932,78.65,0.78
5,5,0.4866,79.16,0.78,0.4919,78.87,0.78
5,5,0.4839,79.31,0.79,0.492,78.74,0.78
5,5,0.4839,79.08,0.78,0.4941,78.62,0.78
5,5,0.4827,79.24,0.79,0.4915,78.92,0.78
5,5,0.4836,79.19,0.78,0.4921,78.69,0.78
5,5,0.4825,79.21,0.78,0.4918,78.98,0.78
5,5,0.483,79.23,0.78,0.4919,78.73,0.78
5,5,0.4809,79.16,0.78,0.4913,78.96,0.78
5,5,0.4821,79.23,0.78,0.492,78.72,0.78
5,5,0.4812,79.19,0.78,0.4933,78.7,0.78
5,5,0.4821,79.38,0.79,0.4943,78.6,0.78
5,5,0.4803,79.19,0.78,0.4917,79.1,0.78
5,5,0.4811,79.24,0.78,0.4913,78.96,0.78
5,5,0.4817,79.36,0.79,0.4915,78.85,0.78
5,5,0.4803,79.29,0.79,0.4929,78.66,0.78
5,5,0.4808,79.35,0.79,0.4926,79.06,0.78
5,5,0.479,79.4,0.79,0.4913,78.96,0.78
5,5,0.4793,79.42,0.79,0.4912,78.99,0.78
5,5,0.4804,79.35,0.79,0.492,78.7,0.78
5,5,0.4782,79.58,0.79,0.4913,78.89,0.78
5,5,0.478,79.47,0.79,0.4919,78.7,0.78
5,5,0.4783,79.52,0.79,0.4927,78.69,0.78
5,5,0.4784,79.55,0.79,0.4913,79.0,0.78
5,5,0.477,79.48,0.79,0.4948,78.53,0.78
5,5,0.4777,79.47,0.79,0.4915,78.89,0.78
5,5,0.4778,79.55,0.79,0.4913,79.03,0.78
5,5,0.4775,79.5,0.79,0.4955,78.58,0.78
5,5,0.477,79.35,0.79,0.492,78.84,0.78
5,5,0.4765,79.61,0.79,0.493,78.65,0.78
5,5,0.477,79.42,0.79,0.4929,79.03,0.78
5,5,0.4757,79.51,0.79,0.4915,79.11,0.78
5,5,0.4759,79.55,0.79,0.4915,78.99,0.78
5,5,0.4754,79.63,0.79,0.4922,78.81,0.78
5,5,0.4763,79.65,0.79,0.4916,79.11,0.78
5,5,0.4765,79.58,0.79,0.4943,79.0,0.78
5,5,0.4758,79.56,0.79,0.4958,78.69,0.78
