gene_id,H3K9ac_wc,H3K9me3_wc,H3K4me3_wc,H3K27ac_wc,H3K27me3_wc,value
ENSG00000011600,26,0,14,72,0,288.021
ENSG00000011638,18,0,0,17,0,2.804
ENSG00000011677,0,0,0,0,22,0.0
ENSG00000012048,15,0,18,39,0,0.643
ENSG00000012061,13,0,8,15,0,16.126
ENSG00000012124,0,0,0,26,0,2.461
ENSG00000012174,19,0,14,14,0,7.39
ENSG00000012211,15,0,22,27,0,2.481
ENSG00000012223,6,0,0,0,0,0.291
ENSG00000012232,0,0,0,0,0,1.041
ENSG00000012504,58,0,48,60,0,63.929
ENSG00000012660,32,0,32,33,0,27.485
ENSG00000012779,0,0,18,43,5,3.542
ENSG00000012817,0,0,0,13,0,0.014
ENSG00000012822,20,0,19,12,0,11.346
ENSG00000012963,25,0,27,17,0,10.964
ENSG00000012983,0,0,11,15,25,4.192
ENSG00000013016,0,0,20,50,29,8.955
ENSG00000013275,25,0,25,25,0,74.301
ENSG00000013288,24,0,15,29,0,13.937
ENSG00000013293,0,0,0,0,0,0.02
ENSG00000013297,0,0,9,25,10,0.725
ENSG00000013306,35,0,22,26,0,71.218
ENSG00000013364,49,0,43,73,0,38.769
ENSG00000013374,19,0,14,36,0,14.58
ENSG00000013375,26,0,30,27,0,9.861
ENSG00000013392,26,0,28,28,0,3.149
ENSG00000013441,62,0,52,68,0,20.755
ENSG00000013503,38,0,36,51,0,5.272
ENSG00000013523,0,0,2,4,0,3.538
ENSG00000013561,0,0,0,17,0,15.86
ENSG00000013563,11,0,14,35,0,6.52
ENSG00000013573,7,0,13,13,0,1.902
ENSG00000013583,36,0,32,43,0,49.376
ENSG00000013588,0,0,9,5,12,0.28
ENSG00000013619,23,0,47,39,0,0.992
ENSG00000013725,0,0,0,20,0,0.435
ENSG00000013810,43,0,31,70,0,1.573
ENSG00000014123,26,0,32,19,0,16.791
ENSG00000014138,24,0,21,18,0,1.421
ENSG00000014164,20,0,17,36,0,3.569
ENSG00000014216,18,0,22,32,0,12.631
ENSG00000014257,0,0,0,17,0,0.227
ENSG00000014641,23,0,38,24,0,57.447
ENSG00000014824,23,0,25,15,0,20.179
ENSG00000014914,0,0,6,43,0,0.861
ENSG00000014919,20,0,22,22,0,15.346
ENSG00000015133,14,0,29,48,0,0.719
ENSG00000015153,40,0,23,48,0,6.47
ENSG00000015171,32,0,32,31,0,16.154
ENSG00000015285,25,0,25,37,0,6.842
ENSG00000015413,0,0,0,0,0,0.0
ENSG00000015475,47,0,23,76,0,15.275
ENSG00000015479,19,0,17,20,0,17.723
ENSG00000015520,67,0,46,74,0,14.188
ENSG00000015532,0,0,15,10,0,4.763
ENSG00000015568,0,0,0,0,0,1.205
ENSG00000015592,0,0,0,0,0,0.112
ENSG00000015676,20,0,26,16,0,8.718
ENSG00000016082,0,0,0,0,89,0.0
ENSG00000016391,58,0,38,57,0,35.035
ENSG00000016402,0,0,13,0,39,0.229
ENSG00000016490,0,0,0,0,9,0.0
ENSG00000016602,0,0,5,0,0,0.015
ENSG00000016864,33,0,26,40,0,25.443
ENSG00000017260,0,0,2,0,0,9.603
ENSG00000017373,10,0,10,21,0,1.011
ENSG00000017427,32,0,61,41,0,54.07
ENSG00000017483,0,0,0,0,20,0.106
ENSG00000017621,10,0,7,41,0,2.677
ENSG00000017797,23,0,29,25,0,17.331
ENSG00000018189,34,0,34,36,0,3.316
ENSG00000018236,0,0,0,0,16,0.671
ENSG00000018280,0,0,0,7,0,1.399
