/group/pmc021/amunif/epi-thesis/workflow/09_Learning_to_Rank/output/autoencoder/all_features/model/dol1l2-autoencoder-linear-0.2-checkpoint-1000000-100-64-0.005-0.001.pt
Using device: cuda
Current CUDA device: 0
CUDA device name: Tesla V100-PCIE-32GB
Epoch [15/100] - [TRAIN] Loss: 0.5773, Accuracy: 71.11%, AUC: 0.71 [VAL] Loss: 0.5896, Accuracy: 70.06%, Precision: 0.71, Recall: 0.63, F1-Score: 0.67, AUC: 0.70
Epoch [16/100] - [TRAIN] Loss: 0.5768, Accuracy: 71.14%, AUC: 0.71 [VAL] Loss: 0.5846, Accuracy: 70.56%, Precision: 0.71, Recall: 0.65, F1-Score: 0.68, AUC: 0.70
Epoch [17/100] - [TRAIN] Loss: 0.5755, Accuracy: 71.24%, AUC: 0.71 [VAL] Loss: 0.5853, Accuracy: 70.49%, Precision: 0.71, Recall: 0.64, F1-Score: 0.67, AUC: 0.70
Epoch [18/100] - [TRAIN] Loss: 0.5761, Accuracy: 71.15%, AUC: 0.71 [VAL] Loss: 0.5868, Accuracy: 70.41%, Precision: 0.71, Recall: 0.64, F1-Score: 0.67, AUC: 0.70
Epoch [19/100] - [TRAIN] Loss: 0.5764, Accuracy: 71.13%, AUC: 0.71 [VAL] Loss: 0.5855, Accuracy: 70.50%, Precision: 0.71, Recall: 0.64, F1-Score: 0.67, AUC: 0.70
Epoch [20/100] - [TRAIN] Loss: 0.5765, Accuracy: 71.15%, AUC: 0.71 [VAL] Loss: 0.5864, Accuracy: 70.45%, Precision: 0.71, Recall: 0.64, F1-Score: 0.67, AUC: 0.70
Epoch [21/100] - [TRAIN] Loss: 0.5765, Accuracy: 71.15%, AUC: 0.71 [VAL] Loss: 0.5854, Accuracy: 70.45%, Precision: 0.71, Recall: 0.63, F1-Score: 0.67, AUC: 0.70
Epoch [22/100] - [TRAIN] Loss: 0.5752, Accuracy: 71.29%, AUC: 0.71 [VAL] Loss: 0.5874, Accuracy: 70.25%, Precision: 0.70, Recall: 0.64, F1-Score: 0.67, AUC: 0.70
Epoch [23/100] - [TRAIN] Loss: 0.5761, Accuracy: 71.15%, AUC: 0.71 [VAL] Loss: 0.5875, Accuracy: 70.22%, Precision: 0.71, Recall: 0.63, F1-Score: 0.67, AUC: 0.70
Epoch [24/100] - [TRAIN] Loss: 0.5763, Accuracy: 71.16%, AUC: 0.71 [VAL] Loss: 0.5830, Accuracy: 70.56%, Precision: 0.71, Recall: 0.64, F1-Score: 0.67, AUC: 0.70
Epoch [25/100] - [TRAIN] Loss: 0.5760, Accuracy: 71.18%, AUC: 0.71 [VAL] Loss: 0.5855, Accuracy: 70.61%, Precision: 0.71, Recall: 0.64, F1-Score: 0.67, AUC: 0.70
Epoch [26/100] - [TRAIN] Loss: 0.5750, Accuracy: 71.26%, AUC: 0.71 [VAL] Loss: 0.5860, Accuracy: 70.39%, Precision: 0.71, Recall: 0.64, F1-Score: 0.67, AUC: 0.70
Epoch [27/100] - [TRAIN] Loss: 0.5758, Accuracy: 71.21%, AUC: 0.71 [VAL] Loss: 0.5845, Accuracy: 70.60%, Precision: 0.71, Recall: 0.64, F1-Score: 0.67, AUC: 0.70
Epoch [28/100] - [TRAIN] Loss: 0.5752, Accuracy: 71.27%, AUC: 0.71 [VAL] Loss: 0.5834, Accuracy: 70.79%, Precision: 0.71, Recall: 0.64, F1-Score: 0.67, AUC: 0.70
Epoch [29/100] - [TRAIN] Loss: 0.5761, Accuracy: 71.17%, AUC: 0.71 [VAL] Loss: 0.5842, Accuracy: 70.59%, Precision: 0.71, Recall: 0.64, F1-Score: 0.67, AUC: 0.70
Epoch [30/100] - [TRAIN] Loss: 0.5771, Accuracy: 71.13%, AUC: 0.71 [VAL] Loss: 0.5837, Accuracy: 70.48%, Precision: 0.71, Recall: 0.64, F1-Score: 0.67, AUC: 0.70
Epoch [31/100] - [TRAIN] Loss: 0.5761, Accuracy: 71.19%, AUC: 0.71 [VAL] Loss: 0.5829, Accuracy: 70.61%, Precision: 0.71, Recall: 0.64, F1-Score: 0.67, AUC: 0.70
Epoch [32/100] - [TRAIN] Loss: 0.5765, Accuracy: 71.14%, AUC: 0.71 [VAL] Loss: 0.5856, Accuracy: 70.42%, Precision: 0.71, Recall: 0.64, F1-Score: 0.67, AUC: 0.70
Epoch [33/100] - [TRAIN] Loss: 0.5761, Accuracy: 71.13%, AUC: 0.71 [VAL] Loss: 0.5837, Accuracy: 70.63%, Precision: 0.71, Recall: 0.64, F1-Score: 0.67, AUC: 0.70
Epoch [34/100] - [TRAIN] Loss: 0.5762, Accuracy: 71.16%, AUC: 0.71 [VAL] Loss: 0.5877, Accuracy: 70.14%, Precision: 0.71, Recall: 0.63, F1-Score: 0.67, AUC: 0.70
Epoch [35/100] - [TRAIN] Loss: 0.5759, Accuracy: 71.24%, AUC: 0.71 [VAL] Loss: 0.5858, Accuracy: 70.50%, Precision: 0.71, Recall: 0.64, F1-Score: 0.67, AUC: 0.70
Epoch [36/100] - [TRAIN] Loss: 0.5754, Accuracy: 71.27%, AUC: 0.71 [VAL] Loss: 0.5854, Accuracy: 70.58%, Precision: 0.71, Recall: 0.64, F1-Score: 0.67, AUC: 0.70
Epoch [37/100] - [TRAIN] Loss: 0.5763, Accuracy: 71.21%, AUC: 0.71 [VAL] Loss: 0.5862, Accuracy: 70.48%, Precision: 0.71, Recall: 0.64, F1-Score: 0.67, AUC: 0.70
Epoch [38/100] - [TRAIN] Loss: 0.5753, Accuracy: 71.24%, AUC: 0.71 [VAL] Loss: 0.5862, Accuracy: 70.57%, Precision: 0.71, Recall: 0.64, F1-Score: 0.67, AUC: 0.70
Epoch [39/100] - [TRAIN] Loss: 0.5754, Accuracy: 71.20%, AUC: 0.71 [VAL] Loss: 0.5856, Accuracy: 70.35%, Precision: 0.71, Recall: 0.64, F1-Score: 0.67, AUC: 0.70
Epoch [40/100] - [TRAIN] Loss: 0.5749, Accuracy: 71.24%, AUC: 0.71 [VAL] Loss: 0.5857, Accuracy: 70.39%, Precision: 0.71, Recall: 0.64, F1-Score: 0.67, AUC: 0.70
Epoch [41/100] - [TRAIN] Loss: 0.5763, Accuracy: 71.20%, AUC: 0.71 [VAL] Loss: 0.5858, Accuracy: 70.47%, Precision: 0.71, Recall: 0.64, F1-Score: 0.67, AUC: 0.70
Epoch [42/100] - [TRAIN] Loss: 0.5762, Accuracy: 71.18%, AUC: 0.71 [VAL] Loss: 0.5847, Accuracy: 70.43%, Precision: 0.71, Recall: 0.64, F1-Score: 0.67, AUC: 0.70
