histone_marker,model,val_accuracy_mean,val_accuracy_std,val_auc_mean,val_auc_std,test_accuracy_mean,test_accuracy_std,test_auc_mean,test_auc_std
H3K4me3-H3K27ac,SVM_Linear,73.26,2.4724,0.801,0.0222,73.34,0.7503,0.8059,0.0113
H3K4me3-H3K27ac,LogisticRegression,73.34,2.2007,0.7997,0.023,73.32,1.1798,0.8061,0.0126
H3K4me3-H3K27ac-H3K27me3,RandomForest,75.72,2.9895,0.839,0.0274,76.0,0.7246,0.8438,0.0145
H3K4me3-H3K27ac-H3K27me3,DirectRanker,74.84,1.7358,0.828,0.0217,74.66,1.2462,0.8366,0.0122
H3K4me3-H3K27ac-H3K27me3,LogisticRegression,72.82,1.9344,0.7932,0.0241,71.88,1.6084,0.7929,0.0139
H3K4me3-H3K27ac-H3K27me3,SVM_Linear,72.46,2.2367,0.7922,0.0232,71.74,1.3012,0.7914,0.014
H3K4me3-H3K27me3,RandomForest,74.36,2.4172,0.8175,0.0261,72.52,1.0474,0.8082,0.0141
H3K4me3-H3K27me3,DirectRanker,74.28,1.8754,0.826,0.0219,72.44,1.324,0.8161,0.0131
H3K4me3-H3K27me3,LogisticRegression,72.68,2.0535,0.793,0.0237,70.22,1.5057,0.7751,0.0127
H3K4me3-H3K27me3,SVM_Linear,72.74,1.9832,0.7926,0.0226,70.1,1.4849,0.7751,0.0141
H3K4me3-H3K9ac,RandomForest,74.88,2.631,0.8244,0.0246,74.16,1.6087,0.8219,0.0135
H3K4me3-H3K9ac,DirectRanker,74.06,1.7329,0.828,0.0217,73.22,1.033,0.8261,0.0128
H3K4me3-H3K9ac,LogisticRegression,73.54,2.4501,0.7998,0.0272,72.16,1.0164,0.7908,0.0144
H3K4me3-H3K9ac,SVM_Linear,73.52,2.2399,0.8002,0.0271,72.04,1.1059,0.792,0.0146
H3K4me3-H3K9ac-H3K27ac,RandomForest,76.32,2.2797,0.8402,0.0263,76.36,0.9788,0.8444,0.014
H3K4me3-H3K9ac-H3K27ac,DirectRanker,74.92,2.1719,0.832,0.0205,74.2,0.9028,0.8371,0.0123
H3K4me3-H3K9ac-H3K27ac,LogisticRegression,72.68,2.8226,0.7915,0.0257,72.84,1.27,0.794,0.0174
H3K4me3-H3K9ac-H3K27ac,SVM_Linear,72.78,2.8244,0.791,0.0262,72.58,1.2558,0.7942,0.0176
H3K4me3-H3K9ac-H3K27ac-H3K27me3,RandomForest,76.08,2.5675,0.8402,0.0267,76.1,1.5476,0.844,0.0137
H3K4me3-H3K9ac-H3K27ac-H3K27me3,DirectRanker,75.0,1.7479,0.832,0.0205,74.4,1.4405,0.838,0.0137
H3K4me3-H3K9ac-H3K27ac-H3K27me3,LogisticRegression,71.82,2.8969,0.7849,0.0259,71.62,1.9435,0.7819,0.0194
H3K4me3-H3K9ac-H3K27ac-H3K27me3,SVM_Linear,71.64,2.7282,0.7827,0.0251,71.42,1.9409,0.7808,0.0201
H3K4me3-H3K9ac-H3K27me3,RandomForest,74.48,2.717,0.8261,0.0256,73.92,1.1756,0.8228,0.0136
H3K4me3-H3K9ac-H3K27me3,DirectRanker,74.58,1.6814,0.83,0.02,73.7,0.9083,0.8268,0.0125
H3K4me3-H3K9ac-H3K27me3,SVM_Linear,72.1,1.9274,0.7907,0.0267,70.88,1.7021,0.7783,0.0157
H3K4me3-H3K9ac-H3K27me3,LogisticRegression,72.44,2.4141,0.7916,0.0275,70.68,1.545,0.778,0.0155
H3K4me3-H3K9ac-H3K9me3,RandomForest,75.1,2.5544,0.8252,0.025,74.28,1.0803,0.8237,0.0129
H3K4me3-H3K9ac-H3K9me3,DirectRanker,73.98,1.5563,0.828,0.0217,72.96,0.5771,0.8252,0.0113
H3K4me3-H3K9ac-H3K9me3,LogisticRegression,72.24,2.5948,0.778,0.0305,71.18,1.1167,0.7704,0.0112
H3K4me3-H3K9ac-H3K9me3,SVM_Linear,72.08,2.2665,0.7765,0.0297,71.18,1.4342,0.77,0.0143
H3K4me3-H3K9ac-H3K9me3-H3K27ac,RandomForest,75.96,2.8945,0.8388,0.0274,76.06,1.3012,0.8444,0.0136
H3K4me3-H3K9ac-H3K9me3-H3K27ac,DirectRanker,74.72,1.8089,0.83,0.0245,74.36,0.9864,0.8358,0.012
H3K4me3-H3K9ac-H3K9me3-H3K27ac,LogisticRegression,71.7,2.8098,0.7698,0.029,71.82,1.2478,0.7736,0.0144
H3K4me3-H3K9ac-H3K9me3-H3K27ac,SVM_Linear,71.26,2.6922,0.7673,0.0291,71.34,1.5884,0.7715,0.0178
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,RandomForest,75.84,2.3362,0.84,0.0247,76.16,1.4258,0.8446,0.0145
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,DirectRanker,75.22,2.0474,0.834,0.027,74.56,1.6257,0.8394,0.0158
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,LogisticRegression,71.32,2.6205,0.7649,0.0301,70.68,1.87,0.7639,0.0132
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,SVM_Linear,70.42,2.3721,0.7606,0.0308,70.2,1.9799,0.7597,0.019
H3K4me3-H3K9ac-H3K9me3-H3K27me3,RandomForest,74.96,2.3586,0.8267,0.0238,74.26,1.3667,0.8229,0.0149
H3K4me3-H3K9ac-H3K9me3-H3K27me3,DirectRanker,74.62,1.7726,0.828,0.0217,73.04,0.8019,0.8258,0.0134
H3K4me3-H3K9ac-H3K9me3-H3K27me3,LogisticRegression,71.56,2.3437,0.7714,0.0311,70.7,1.5716,0.7598,0.0075
H3K4me3-H3K9ac-H3K9me3-H3K27me3,SVM_Linear,71.32,1.9267,0.7673,0.0302,69.8,1.423,0.7568,0.0137
H3K4me3-H3K9me3,RandomForest,73.94,2.2479,0.8151,0.0237,72.72,1.1256,0.809,0.0118
H3K4me3-H3K9me3,DirectRanker,73.54,1.4943,0.824,0.0207,71.7,0.6285,0.8103,0.0107
H3K4me3-H3K9me3,LogisticRegression,72.12,2.4201,0.7794,0.0272,71.38,1.0035,0.7743,0.0101
H3K4me3-H3K9me3,SVM_Linear,72.34,1.9373,0.7793,0.0267,70.96,0.9127,0.7735,0.0109
H3K4me3-H3K9me3-H3K27ac,RandomForest,75.62,2.6556,0.8382,0.0269,76.28,0.8815,0.844,0.0131
H3K4me3-H3K9me3-H3K27ac,DirectRanker,74.66,1.9321,0.83,0.0187,74.3,1.0677,0.8348,0.0134
H3K4me3-H3K9me3-H3K27ac,LogisticRegression,72.0,2.5189,0.7767,0.0258,72.28,1.0569,0.785,0.0091
H3K4me3-H3K9me3-H3K27ac,SVM_Linear,71.98,2.4366,0.7771,0.0262,72.26,1.1014,0.7833,0.013
H3K4me3-H3K9me3-H3K27ac-H3K27me3,RandomForest,76.06,2.7208,0.839,0.0269,76.26,1.161,0.8445,0.0139
H3K4me3-H3K9me3-H3K27ac-H3K27me3,DirectRanker,75.18,1.6037,0.832,0.0217,74.84,1.7686,0.8376,0.0122
H3K4me3-H3K9me3-H3K27ac-H3K27me3,LogisticRegression,71.76,2.4419,0.7715,0.0276,71.28,1.1432,0.7753,0.0076
H3K4me3-H3K9me3-H3K27ac-H3K27me3,SVM_Linear,71.36,2.033,0.769,0.0284,70.66,1.5209,0.7706,0.014
H3K4me3-H3K9me3-H3K27me3,RandomForest,74.3,2.5564,0.8184,0.0273,72.98,1.2091,0.8102,0.0142
H3K4me3-H3K9me3-H3K27me3,DirectRanker,74.64,2.0268,0.826,0.0219,72.36,1.4893,0.8168,0.013
H3K4me3-H3K9me3-H3K27me3,LogisticRegression,71.72,2.2332,0.7737,0.029,70.34,0.7232,0.765,0.0075
H3K4me3-H3K9me3-H3K27me3,SVM_Linear,71.34,1.7315,0.7711,0.0276,69.92,1.5418,0.7624,0.012
H3K9ac,RandomForest,74.06,2.0057,0.8191,0.0186,73.62,1.39,0.8175,0.0155
H3K9ac,LogisticRegression,73.32,1.6544,0.7988,0.0181,72.84,1.5469,0.7961,0.0165
H3K9ac,SVM_Linear,73.2,1.3342,0.7999,0.0187,72.66,1.5884,0.7962,0.0168
H3K9ac,DirectRanker,72.56,1.1349,0.822,0.0217,72.12,1.7341,0.8213,0.0141
H3K9ac-H3K27ac,RandomForest,75.84,2.3126,0.8366,0.0255,76.64,1.2876,0.844,0.0129
H3K9ac-H3K27ac,DirectRanker,73.74,1.5159,0.824,0.023,73.96,1.2798,0.8331,0.0138
H3K9ac-H3K27ac,LogisticRegression,73.22,2.0092,0.7926,0.0195,73.18,1.1692,0.7991,0.0179
H3K9ac-H3K27ac,SVM_Linear,73.06,1.9578,0.7927,0.02,72.92,1.3737,0.8002,0.018
H3K9ac-H3K27ac-H3K27me3,RandomForest,76.2,2.1783,0.8391,0.0239,76.38,1.3627,0.8436,0.0129
H3K9ac-H3K27ac-H3K27me3,DirectRanker,74.52,1.4202,0.83,0.0187,74.42,1.3312,0.8346,0.0143
H3K9ac-H3K27ac-H3K27me3,LogisticRegression,72.42,2.1183,0.7852,0.0199,71.22,1.9639,0.7849,0.0201
H3K9ac-H3K27ac-H3K27me3,SVM_Linear,71.78,1.9905,0.7838,0.0196,71.08,1.9703,0.7847,0.0209
H3K9ac-H3K27me3,RandomForest,74.18,1.9588,0.8215,0.0187,73.38,1.6177,0.8159,0.0168
H3K9ac-H3K27me3,DirectRanker,73.58,1.2458,0.82,0.0187,72.86,1.1349,0.8207,0.0144
H3K9ac-H3K27me3,LogisticRegression,72.4,1.6538,0.7907,0.0187,71.4,2.0396,0.7815,0.0173
H3K9ac-H3K27me3,SVM_Linear,72.08,1.3572,0.7901,0.018,71.22,1.8887,0.7813,0.0182
H3K9ac-H3K9me3,RandomForest,74.0,1.793,0.8194,0.0187,74.04,0.9685,0.8196,0.014
H3K9ac-H3K9me3,DirectRanker,72.18,0.8012,0.818,0.0179,72.24,1.0359,0.8196,0.0124
H3K9ac-H3K9me3,LogisticRegression,72.22,1.9123,0.7755,0.0213,71.44,1.5868,0.7736,0.0173
H3K9ac-H3K9me3,SVM_Linear,71.8,1.8655,0.7738,0.0235,71.16,1.8636,0.7733,0.0177
H3K9ac-H3K9me3-H3K27ac,RandomForest,75.92,2.6243,0.8374,0.0242,76.58,1.3864,0.8439,0.0121
H3K9ac-H3K9me3-H3K27ac,DirectRanker,73.98,1.4096,0.83,0.0187,73.9,1.0607,0.8334,0.0153
H3K9ac-H3K9me3-H3K27ac,LogisticRegression,71.78,1.9753,0.7699,0.0216,71.72,1.4061,0.7767,0.0178
H3K9ac-H3K9me3-H3K27ac,SVM_Linear,71.5,2.1564,0.7679,0.024,71.1,1.5604,0.7766,0.0209
H3K9ac-H3K9me3-H3K27ac-H3K27me3,RandomForest,75.92,2.3774,0.8381,0.0253,76.22,1.4805,0.844,0.0137
H3K9ac-H3K9me3-H3K27ac-H3K27me3,DirectRanker,74.44,1.7038,0.83,0.0187,74.44,0.8264,0.8363,0.0122
H3K9ac-H3K9me3-H3K27ac-H3K27me3,LogisticRegression,70.86,1.9819,0.764,0.0222,70.3,1.7804,0.7649,0.0147
H3K9ac-H3K9me3-H3K27ac-H3K27me3,SVM_Linear,70.6,2.3917,0.7606,0.0259,69.52,1.8913,0.7626,0.02
H3K9ac-H3K9me3-H3K27me3,RandomForest,74.12,2.0462,0.8229,0.0198,73.68,1.6346,0.818,0.017
H3K9ac-H3K9me3-H3K27me3,DirectRanker,73.28,1.3442,0.822,0.0164,72.84,1.324,0.8206,0.015
H3K9ac-H3K9me3-H3K27me3,LogisticRegression,71.48,1.7541,0.7694,0.0217,70.02,1.8727,0.761,0.0125
H3K9ac-H3K9me3-H3K27me3,SVM_Linear,70.76,1.7615,0.7655,0.0241,69.98,1.9917,0.7599,0.0177
H3K9me3,RandomForest,52.0,1.6718,0.5105,0.0105,51.06,1.3885,0.5048,0.0109
H3K9me3,SVM_Linear,51.5,1.259,0.4956,0.0097,50.86,1.274,0.4986,0.0078
H3K9me3,LogisticRegression,51.44,1.3126,0.4983,0.0094,50.86,1.1415,0.4994,0.0081
H3K9me3,DirectRanker,49.34,1.6319,0.518,0.013,49.92,1.0109,0.5153,0.0057
H3K9me3-H3K27ac,RandomForest,74.28,2.759,0.8274,0.0263,75.66,1.4258,0.8384,0.0112
H3K9me3-H3K27ac,DirectRanker,73.08,1.7627,0.818,0.0239,73.82,1.4237,0.8304,0.0149
H3K9me3-H3K27ac,LogisticRegression,71.78,2.5004,0.7688,0.0235,72.68,1.2795,0.7836,0.0137
H3K9me3-H3K27ac,SVM_Linear,71.14,2.3244,0.7668,0.023,72.22,1.4446,0.7831,0.0179
H3K9me3-H3K27ac-H3K27me3,RandomForest,74.38,3.1634,0.8308,0.0285,75.14,1.7082,0.8382,0.013
H3K9me3-H3K27ac-H3K27me3,DirectRanker,74.02,1.878,0.824,0.023,74.34,1.5469,0.8316,0.0176
H3K9me3-H3K27ac-H3K27me3,LogisticRegression,70.94,2.5667,0.7624,0.0254,71.5,1.6808,0.7713,0.012
H3K9me3-H3K27ac-H3K27me3,SVM_Linear,70.26,2.6444,0.7586,0.0256,71.1,1.9962,0.7694,0.0182
H3K9me3-H3K27me3,DirectRanker,56.76,1.7672,0.63,0.0141,56.34,1.1845,0.6181,0.0153
H3K9me3-H3K27me3,RandomForest,57.42,2.4763,0.6237,0.0227,56.22,0.9391,0.6058,0.0128
H3K9me3-H3K27me3,LogisticRegression,54.54,1.717,0.5714,0.0171,53.48,0.8786,0.5567,0.0136
H3K9me3-H3K27me3,SVM_Linear,53.82,1.4721,0.5652,0.0128,52.66,1.4588,0.5509,0.0166
