model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
RandomForest,456,H3K4me3-H3K9ac,,77.5,0.8523,74.1,0.8125,0.7889,0.7495,0.7016,0.7248,0.801
SVM_Linear,456,H3K4me3-H3K9ac,,75.7,0.8209,72.3,0.7761,0.7588,0.7413,0.6605,0.6986,0.771
DirectRanker,789,H3K4me3-H3K9ac,50,73.1,0.81,74.3,0.8275,0.8075,0.722,0.7952,0.7569,0.877
LogisticRegression,789,H3K4me3-H3K9ac,,73.5,0.7937,73.5,0.8119,0.7818,0.778,0.662,0.7154,0.759
RandomForest,789,H3K4me3-H3K9ac,,74.1,0.8127,74.2,0.8287,0.8178,0.7924,0.66,0.7202,0.803
SVM_Linear,789,H3K4me3-H3K9ac,,73.6,0.7935,73.6,0.8127,0.7829,0.7812,0.66,0.7155,0.76
DirectRanker,1011,H3K4me3-H3K9me3,14,71.6,0.79,71.1,0.8012,0.793,0.6969,0.751,0.7229,0.898
LogisticRegression,1011,H3K4me3-H3K9me3,,68.0,0.7333,71.0,0.7814,0.7399,0.7356,0.6594,0.6954,0.785
RandomForest,1011,H3K4me3-H3K9me3,,70.6,0.7751,72.7,0.813,0.8068,0.7644,0.6594,0.708,0.779
SVM_Linear,1011,H3K4me3-H3K9me3,,69.2,0.7371,70.3,0.7732,0.7295,0.74,0.6295,0.6803,0.761
DirectRanker,123,H3K4me3-H3K9me3,53,75.0,0.84,71.3,0.8037,0.7739,0.6847,0.7724,0.7259,0.902
LogisticRegression,123,H3K4me3-H3K9me3,,73.3,0.7987,70.5,0.7648,0.7432,0.7275,0.6402,0.6811,0.775
RandomForest,123,H3K4me3-H3K9me3,,75.6,0.8298,71.8,0.8054,0.7829,0.7365,0.6646,0.6987,0.789
SVM_Linear,123,H3K4me3-H3K9me3,,73.7,0.8036,70.6,0.7671,0.7418,0.7324,0.6341,0.6797,0.776
DirectRanker,42,H3K4me3-H3K9me3,100,74.3,0.83,72.6,0.8275,0.8194,0.6865,0.7921,0.7355,0.889
LogisticRegression,42,H3K4me3-H3K9me3,,72.4,0.7804,73.1,0.787,0.7603,0.7345,0.6902,0.7117,0.77
RandomForest,42,H3K4me3-H3K9me3,,74.1,0.8221,74.6,0.8271,0.8009,0.7539,0.7006,0.7263,0.796
SVM_Linear,42,H3K4me3-H3K9me3,,71.8,0.7725,72.4,0.7891,0.7656,0.7283,0.6798,0.7032,0.766
DirectRanker,456,H3K4me3-H3K9me3,100,74.5,0.84,71.4,0.8053,0.7874,0.6805,0.7757,0.725,0.906
LogisticRegression,456,H3K4me3-H3K9me3,,74.3,0.8001,71.0,0.7639,0.7211,0.7217,0.6564,0.6875,0.788
RandomForest,456,H3K4me3-H3K9me3,,76.3,0.8348,72.6,0.796,0.7686,0.7335,0.6852,0.7085,0.79
SVM_Linear,456,H3K4me3-H3K9me3,,73.9,0.7994,70.2,0.7605,0.7146,0.7238,0.6255,0.6711,0.779
DirectRanker,789,H3K4me3-H3K9me3,77,72.3,0.82,72.1,0.8139,0.8006,0.7,0.7793,0.7375,0.875
LogisticRegression,789,H3K4me3-H3K9me3,,72.6,0.7846,71.3,0.7744,0.745,0.7673,0.6163,0.6836,0.769
RandomForest,789,H3K4me3-H3K9me3,,73.1,0.8135,71.9,0.8033,0.8028,0.7656,0.6362,0.6949,0.788
SVM_Linear,789,H3K4me3-H3K9me3,,73.1,0.784,71.3,0.7777,0.7557,0.7741,0.6064,0.68,0.752
DirectRanker,1011,H3K4me3-H3K27ac,35,72.1,0.8,73.6,0.8287,0.8176,0.7254,0.7629,0.7437,0.927
LogisticRegression,1011,H3K4me3-H3K27ac,,69.8,0.7627,71.9,0.8029,0.7973,0.7552,0.6514,0.6995,0.76
RandomForest,1011,H3K4me3-H3K27ac,,72.1,0.7996,74.4,0.8287,0.8192,0.7808,0.6813,0.7277,0.821
SVM_Linear,1011,H3K4me3-H3K27ac,,69.4,0.7652,72.4,0.8024,0.7944,0.7616,0.6554,0.7045,0.754
DirectRanker,123,H3K4me3-H3K27ac,48,75.4,0.84,73.6,0.8304,0.8249,0.7127,0.7764,0.7432,0.935
LogisticRegression,123,H3K4me3-H3K27ac,,74.5,0.8103,73.2,0.7994,0.7778,0.7373,0.7073,0.722,0.792
RandomForest,123,H3K4me3-H3K27ac,,77.1,0.8531,76.4,0.8401,0.8335,0.7747,0.7337,0.7537,0.846
