model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
RandomForest,456,H3K4me3-H3K9ac-H3K27ac,,77.6,0.8658,76.3,0.833,0.8145,0.7798,0.714,0.7454,0.839
RandomForest,789,H3K4me3-H3K9ac-H3K27ac,,75.6,0.8205,77.1,0.8592,0.8469,0.81,0.7117,0.7577,0.837
RandomForest,1011,H3K4me3-H3K9ac-H3K27me3,,70.1,0.7865,73.1,0.8199,0.8071,0.763,0.6733,0.7153,0.815
RandomForest,123,H3K4me3-H3K9ac-H3K27me3,,75.2,0.8373,73.5,0.8102,0.7944,0.7473,0.6972,0.7213,0.829
RandomForest,42,H3K4me3-H3K9ac-H3K27me3,,76.1,0.8367,76.0,0.8437,0.8316,0.7637,0.7256,0.7441,0.831
RandomForest,456,H3K4me3-H3K9ac-H3K27me3,,77.1,0.8531,73.5,0.8122,0.7903,0.7461,0.6893,0.7166,0.811
RandomForest,789,H3K4me3-H3K9ac-H3K27me3,,73.9,0.8171,73.5,0.8278,0.8217,0.7742,0.668,0.7172,0.809
RandomForest,1011,H3K4me3-H3K9me3-H3K27ac,,71.8,0.8031,75.0,0.8297,0.8214,0.78,0.6992,0.7374,0.831
RandomForest,123,H3K4me3-H3K9me3-H3K27ac,,77.2,0.8545,76.7,0.841,0.8307,0.7846,0.7256,0.754,0.848
RandomForest,42,H3K4me3-H3K9me3-H3K27ac,,77.2,0.8522,77.4,0.8602,0.8473,0.779,0.7401,0.7591,0.845
RandomForest,456,H3K4me3-H3K9me3-H3K27ac,,78.0,0.865,76.1,0.8343,0.8185,0.78,0.7078,0.7422,0.841
RandomForest,789,H3K4me3-H3K9me3-H3K27ac,,73.9,0.8164,76.2,0.8546,0.8453,0.7938,0.7117,0.7505,0.837
RandomForest,1011,H3K4me3-H3K9me3-H3K27me3,,69.9,0.7717,71.8,0.8099,0.8057,0.7511,0.6554,0.7,0.795
RandomForest,123,H3K4me3-H3K9me3-H3K27me3,,75.7,0.8358,72.9,0.8066,0.7906,0.7376,0.6972,0.7168,0.826
RandomForest,42,H3K4me3-H3K9me3-H3K27me3,,75.4,0.8272,75.0,0.8325,0.8112,0.7516,0.7173,0.734,0.81
RandomForest,456,H3K4me3-H3K9me3-H3K27me3,,76.2,0.8387,72.4,0.7932,0.7742,0.7303,0.6852,0.707,0.798
RandomForest,789,H3K4me3-H3K9me3-H3K27me3,,74.3,0.8184,72.8,0.8089,0.8082,0.7619,0.668,0.7119,0.826
RandomForest,1011,H3K4me3-H3K27ac-H3K27me3,,71.2,0.8,75.4,0.8322,0.8247,0.7807,0.7092,0.7432,0.844
RandomForest,123,H3K4me3-H3K27ac-H3K27me3,,77.8,0.8537,76.2,0.8387,0.827,0.7679,0.7398,0.7536,0.851
RandomForest,42,H3K4me3-H3K27ac-H3K27me3,,77.5,0.8522,76.8,0.8629,0.847,0.7666,0.7443,0.7553,0.845
RandomForest,456,H3K4me3-H3K27ac-H3K27me3,,78.0,0.8672,75.1,0.8301,0.8108,0.7639,0.7058,0.7337,0.84
RandomForest,789,H3K4me3-H3K27ac-H3K27me3,,74.1,0.8219,76.5,0.8549,0.847,0.7913,0.7237,0.756,0.843
RandomForest,1011,H3K9ac-H3K9me3-H3K27ac,,72.5,0.8068,74.6,0.8362,0.8309,0.7768,0.6932,0.7326,0.813
RandomForest,123,H3K9ac-H3K9me3-H3K27ac,,77.4,0.8532,77.0,0.8343,0.8273,0.7937,0.7195,0.7548,0.828
RandomForest,42,H3K9ac-H3K9me3-H3K27ac,,78.2,0.8496,78.1,0.8602,0.854,0.7924,0.738,0.7643,0.839
RandomForest,456,H3K9ac-H3K9me3-H3K27ac,,77.8,0.8613,75.8,0.8352,0.8178,0.776,0.7058,0.7392,0.829
RandomForest,789,H3K9ac-H3K9me3-H3K27ac,,73.7,0.8163,77.4,0.8537,0.8413,0.8155,0.7117,0.7601,0.835
RandomForest,1011,H3K9ac-H3K9me3-H3K27me3,,71.6,0.7932,71.9,0.8118,0.8103,0.7552,0.6514,0.6995,0.794
RandomForest,123,H3K9ac-H3K9me3-H3K27me3,,74.4,0.8345,72.3,0.7971,0.7749,0.7438,0.6667,0.7031,0.814
RandomForest,42,H3K9ac-H3K9me3-H3K27me3,,76.4,0.8334,75.9,0.8377,0.8222,0.7778,0.6985,0.736,0.785
RandomForest,456,H3K9ac-H3K9me3-H3K27me3,,75.7,0.841,73.8,0.8102,0.795,0.7534,0.6852,0.7177,0.796
RandomForest,789,H3K9ac-H3K9me3-H3K27me3,,72.5,0.8122,74.5,0.8332,0.8292,0.7911,0.67,0.7255,0.808
RandomForest,1011,H3K9ac-H3K27ac-H3K27me3,,73.4,0.8065,74.4,0.8365,0.8315,0.7674,0.7032,0.7339,0.823
RandomForest,123,H3K9ac-H3K27ac-H3K27me3,,77.1,0.8526,76.7,0.8326,0.8246,0.7785,0.7358,0.7565,0.854
RandomForest,42,H3K9ac-H3K27ac-H3K27me3,,78.4,0.8543,78.2,0.8617,0.8591,0.789,0.7464,0.7671,0.845
RandomForest,456,H3K9ac-H3K27ac-H3K27me3,,77.7,0.861,76.1,0.8344,0.8164,0.7714,0.7222,0.746,0.845
RandomForest,789,H3K9ac-H3K27ac-H3K27me3,,74.4,0.8211,76.5,0.8529,0.8443,0.8004,0.7097,0.7524,0.851
RandomForest,1011,H3K9me3-H3K27ac-H3K27me3,,71.2,0.7959,72.8,0.826,0.8143,0.7567,0.6753,0.7137,0.806
RandomForest,123,H3K9me3-H3K27ac-H3K27me3,,74.1,0.8413,76.0,0.8357,0.8323,0.7739,0.7236,0.7479,0.83
RandomForest,42,H3K9me3-H3K27ac-H3K27me3,,78.4,0.8509,77.4,0.8582,0.851,0.7802,0.738,0.7585,0.832
RandomForest,456,H3K9me3-H3K27ac-H3K27me3,,76.7,0.8606,74.9,0.8283,0.8109,0.756,0.714,0.7344,0.828
RandomForest,789,H3K9me3-H3K27ac-H3K27me3,,71.5,0.8055,74.6,0.8426,0.8392,0.7724,0.7018,0.7354,0.834
RandomForest,1011,H3K4me3-H3K9ac-H3K9me3-H3K27ac,,71.8,0.8008,73.9,0.8331,0.8258,0.7648,0.6932,0.7273,0.832
RandomForest,123,H3K4me3-H3K9ac-H3K9me3-H3K27ac,,77.3,0.8585,76.4,0.8361,0.8225,0.7771,0.7297,0.7526,0.86
RandomForest,42,H3K4me3-H3K9ac-H3K9me3-H3K27ac,,78.3,0.8528,77.1,0.8612,0.8534,0.7763,0.736,0.7556,0.855
RandomForest,456,H3K4me3-H3K9ac-H3K9me3-H3K27ac,,78.3,0.863,75.9,0.8343,0.8138,0.7728,0.714,0.7422,0.842
RandomForest,789,H3K4me3-H3K9ac-H3K9me3-H3K27ac,,74.1,0.8189,77.0,0.8571,0.8452,0.8124,0.7058,0.7553,0.846
RandomForest,1011,H3K4me3-H3K9ac-H3K9me3-H3K27me3,,71.4,0.7891,73.4,0.8186,0.8066,0.7646,0.6793,0.7194,0.819
RandomForest,123,H3K4me3-H3K9ac-H3K9me3-H3K27me3,,75.0,0.8362,73.9,0.8087,0.7961,0.7538,0.6972,0.7244,0.844
RandomForest,42,H3K4me3-H3K9ac-H3K9me3-H3K27me3,,77.5,0.838,76.6,0.8467,0.836,0.7702,0.7318,0.7505,0.817
RandomForest,456,H3K4me3-H3K9ac-H3K9me3-H3K27me3,,76.6,0.8509,74.2,0.8136,0.7957,0.75,0.7037,0.7261,0.811
RandomForest,789,H3K4me3-H3K9ac-H3K9me3-H3K27me3,,74.3,0.8195,73.2,0.8268,0.8223,0.7677,0.67,0.7155,0.826
RandomForest,1011,H3K4me3-H3K9ac-H3K27ac-H3K27me3,,72.2,0.8015,74.1,0.8339,0.8263,0.7636,0.7012,0.731,0.852
RandomForest,123,H3K4me3-H3K9ac-H3K27ac-H3K27me3,,77.9,0.8569,77.1,0.8356,0.8254,0.7877,0.7317,0.7587,0.855
RandomForest,42,H3K4me3-H3K9ac-H3K27ac-H3K27me3,,78.1,0.8557,77.6,0.8626,0.8514,0.7787,0.7464,0.7622,0.859
RandomForest,456,H3K4me3-H3K9ac-H3K27ac-H3K27me3,,77.5,0.8636,74.8,0.833,0.8118,0.7635,0.6975,0.729,0.847
RandomForest,789,H3K4me3-H3K9ac-H3K27ac-H3K27me3,,74.7,0.8231,76.9,0.8547,0.8391,0.7982,0.7237,0.7591,0.86
RandomForest,1011,H3K4me3-H3K9me3-H3K27ac-H3K27me3,,72.1,0.8001,74.9,0.8323,0.8242,0.7795,0.6972,0.7361,0.848
RandomForest,123,H3K4me3-H3K9me3-H3K27ac-H3K27me3,,77.3,0.8527,76.1,0.8402,0.8328,0.7674,0.7378,0.7523,0.85
RandomForest,42,H3K4me3-H3K9me3-H3K27ac-H3K27me3,,78.1,0.8545,78.1,0.8639,0.8491,0.7848,0.7505,0.7673,0.859
RandomForest,456,H3K4me3-H3K9me3-H3K27ac-H3K27me3,,78.4,0.8651,75.9,0.8324,0.8144,0.7778,0.7058,0.74,0.845
RandomForest,789,H3K4me3-H3K9me3-H3K27ac-H3K27me3,,74.4,0.8227,76.3,0.8537,0.8486,0.7904,0.7197,0.7534,0.851
RandomForest,1011,H3K9ac-H3K9me3-H3K27ac-H3K27me3,,72.9,0.8038,74.4,0.8376,0.8325,0.7686,0.7012,0.7333,0.835
RandomForest,123,H3K9ac-H3K9me3-H3K27ac-H3K27me3,,76.2,0.8526,76.9,0.8327,0.8285,0.7831,0.7337,0.7576,0.844
RandomForest,42,H3K9ac-H3K9me3-H3K27ac-H3K27me3,,78.9,0.8575,78.0,0.8637,0.8555,0.7843,0.7484,0.766,0.847
RandomForest,456,H3K9ac-H3K9me3-H3K27ac-H3K27me3,,77.3,0.8584,75.0,0.8332,0.8147,0.7599,0.7099,0.734,0.843
RandomForest,789,H3K9ac-H3K9me3-H3K27ac-H3K27me3,,74.3,0.8184,76.8,0.8526,0.8426,0.8004,0.7177,0.7568,0.856
RandomForest,1011,H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,,72.5,0.8046,74.1,0.8311,0.8245,0.7694,0.6912,0.7282,0.843
RandomForest,123,H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,,76.0,0.8554,76.8,0.8384,0.8316,0.7778,0.7398,0.7583,0.854
RandomForest,42,H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,,78.1,0.855,78.0,0.8628,0.8498,0.7881,0.7422,0.7645,0.861
RandomForest,456,H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,,77.9,0.8613,76.0,0.8332,0.8125,0.7733,0.716,0.7436,0.857
RandomForest,789,H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,,74.7,0.8235,75.9,0.8574,0.8418,0.7924,0.7058,0.7466,0.842
